@page size 600,600
@view 0.12,0.1,0.97,0.93
@subtitle "PHOENIX module phox, 10/30/16 at 15:29:20 -07:00"
@xaxes scale Normal
@yaxes scale Normal
@xaxis label "energy (meV)"
@yaxis label "two-phonon contribution (1/eV)"
@type xy
 -1.02271E+02 -1.49218E-04
 -1.01972E+02  4.82660E-05
 -1.01673E+02  3.15811E-06
 -1.01374E+02 -6.98983E-05
 -1.01075E+02  1.84377E-05
 -1.00776E+02 -1.08485E-04
 -1.00477E+02  1.15185E-04
 -1.00178E+02 -9.20144E-05
 -9.98791E+01 -4.46017E-05
 -9.95800E+01  8.60725E-05
 -9.92810E+01 -1.23709E-04
 -9.89820E+01  6.89873E-05
 -9.86829E+01 -1.28431E-04
 -9.83839E+01  4.63443E-05
 -9.80848E+01 -4.03052E-05
 -9.77858E+01 -1.85520E-06
 -9.74868E+01 -1.88832E-05
 -9.71877E+01  2.86329E-05
 -9.68887E+01 -1.76633E-05
 -9.65896E+01 -2.52825E-05
 -9.62906E+01  2.13593E-05
 -9.59916E+01 -7.07465E-05
 -9.56925E+01  3.67248E-05
 -9.53935E+01  3.11720E-05
 -9.50944E+01 -1.18378E-04
 -9.47954E+01 -1.40690E-06
 -9.44964E+01  7.82849E-06
 -9.41973E+01 -1.09966E-04
 -9.38983E+01  3.68218E-05
 -9.35992E+01 -3.35702E-05
 -9.33002E+01 -3.98484E-05
 -9.30012E+01 -1.06362E-05
 -9.27021E+01  4.68590E-05
 -9.24031E+01 -9.81094E-05
 -9.21041E+01 -5.85443E-05
 -9.18050E+01  1.99718E-04
 -9.15060E+01 -2.68698E-04
 -9.12069E+01  1.26918E-04
 -9.09079E+01  7.13798E-05
 -9.06089E+01 -3.18955E-04
 -9.03098E+01  3.30378E-04
 -9.00108E+01 -1.86200E-04
 -8.97117E+01 -5.82585E-05
 -8.94127E+01  2.07822E-04
 -8.91137E+01 -2.32843E-04
 -8.88146E+01  7.75405E-05
 -8.85156E+01  5.60349E-05
 -8.82165E+01 -2.50298E-04
 -8.79175E+01  3.83212E-04
 -8.76185E+01 -4.29267E-04
 -8.73194E+01  2.29517E-04
 -8.70204E+01 -1.48294E-04
