PHOENIX module padd; 10/30/16 at 15:29:20 -07:00
energy (meV),monitor function
-9.94995E+01, 5.23027E+07
-9.92004E+01, 5.24937E+07
-9.89014E+01, 5.22386E+07
-9.86023E+01, 5.22156E+07
-9.83033E+01, 5.21497E+07
-9.80043E+01, 5.22727E+07
-9.77052E+01, 5.23528E+07
-9.74062E+01, 5.21375E+07
-9.71072E+01, 5.21110E+07
-9.68081E+01, 5.23752E+07
-9.65091E+01, 5.22659E+07
-9.62100E+01, 5.21396E+07
-9.59110E+01, 5.22395E+07
-9.56120E+01, 5.22383E+07
-9.53129E+01, 5.22114E+07
-9.50139E+01, 5.20791E+07
-9.47148E+01, 5.19546E+07
-9.44158E+01, 5.21639E+07
-9.41168E+01, 5.21654E+07
-9.38177E+01, 5.21085E+07
-9.35187E+01, 5.19447E+07
-9.32196E+01, 5.18440E+07
-9.29206E+01, 5.20259E+07
-9.26216E+01, 5.18560E+07
-9.23225E+01, 5.21402E+07
-9.20235E+01, 5.19469E+07
-9.17245E+01, 5.20529E+07
-9.14254E+01, 5.19519E+07
-9.11264E+01, 5.19048E+07
-9.08273E+01, 5.18992E+07
-9.05283E+01, 5.19177E+07
-9.02293E+01, 5.19404E+07
-8.99302E+01, 5.20217E+07
-8.96312E+01, 5.19531E+07
-8.93321E+01, 5.20247E+07
-8.90331E+01, 5.19877E+07
-8.87341E+01, 5.19430E+07
-8.84350E+01, 5.19877E+07
-8.81360E+01, 5.19016E+07
-8.78369E+01, 5.20418E+07
-8.75379E+01, 5.19385E+07
-8.72389E+01, 5.17763E+07
-8.69398E+01, 5.17344E+07
-8.66408E+01, 5.16992E+07
-8.63417E+01, 5.17463E+07
-8.60427E+01, 5.18071E+07
-8.57437E+01, 5.18867E+07
-8.54446E+01, 5.18104E+07
-8.51456E+01, 5.17328E+07
-8.48466E+01, 5.15878E+07
-8.45475E+01, 5.15993E+07
-8.42485E+01, 5.16356E+07
-8.39494E+01, 5.15767E+07
-8.36504E+01, 5.15204E+07
-8.33514E+01, 5.15979E+07
-8.30523E+01, 5.17943E+07
-8.27533E+01, 5.16174E+07
-8.24542E+01, 5.16114E+07
-8.21552E+01, 5.16988E+07
-8.18562E+01, 5.16564E+07
-8.15571E+01, 5.16619E+07
-8.12581E+01, 5.17944E+07
-8.09590E+01, 5.17227E+07
-8.06600E+01, 5.16087E+07
-8.03610E+01, 5.16693E+07
-8.00619E+01, 5.16558E+07
-7.97629E+01, 5.15983E+07
-7.94639E+01, 5.15939E+07
-7.91648E+01, 5.17299E+07
-7.88658E+01, 5.17697E+07
-7.85667E+01, 5.15493E+07
-7.82677E+01, 5.17069E+07
-7.79687E+01, 5.15887E+07
-7.76696E+01, 5.14433E+07
-7.73706E+01, 5.15113E+07
-7.70715E+01, 5.15384E+07
-7.67725E+01, 5.15245E+07
-7.64735E+01, 5.15328E+07
-7.61744E+01, 5.16342E+07
-7.58754E+01, 5.18514E+07
-7.55763E+01, 5.16536E+07
-7.52773E+01, 5.15391E+07
-7.49783E+01, 5.15805E+07
-7.46792E+01, 5.16379E+07
-7.43802E+01, 5.15791E+07
-7.40811E+01, 5.15803E+07
-7.37821E+01, 5.16732E+07
-7.34831E+01, 5.16561E+07
-7.31840E+01, 5.15763E+07
-7.28850E+01, 5.16383E+07
-7.25860E+01, 5.15125E+07
-7.22869E+01, 5.14623E+07
-7.19879E+01, 5.13704E+07
-7.16888E+01, 5.14079E+07
-7.13898E+01, 5.15874E+07
-7.10908E+01, 5.14264E+07
-7.07917E+01, 5.13307E+07
-7.04927E+01, 5.13635E+07
-7.01936E+01, 5.14817E+07
-6.98946E+01, 5.14407E+07
-6.95956E+01, 5.14200E+07
-6.92965E+01, 5.15687E+07
-6.89975E+01, 5.14674E+07
-6.86984E+01, 5.15606E+07
-6.83994E+01, 5.14354E+07
-6.81004E+01, 5.13877E+07
-6.78013E+01, 5.14127E+07
-6.75023E+01, 5.14371E+07
-6.72032E+01, 5.14174E+07
-6.69042E+01, 5.14270E+07
-6.66052E+01, 5.12897E+07
-6.63061E+01, 5.13663E+07
-6.60071E+01, 5.14221E+07
-6.57081E+01, 5.14099E+07
-6.54090E+01, 5.13445E+07
-6.51100E+01, 5.13895E+07
-6.48109E+01, 5.13683E+07
-6.45119E+01, 5.12825E+07
-6.42129E+01, 5.14650E+07
-6.39138E+01, 5.12379E+07
-6.36148E+01, 5.13048E+07
-6.33157E+01, 5.14172E+07
-6.30167E+01, 5.12420E+07
-6.27177E+01, 5.13621E+07
-6.24186E+01, 5.14400E+07
-6.21196E+01, 5.14645E+07
-6.18205E+01, 5.14405E+07
-6.15215E+01, 5.13608E+07
-6.12225E+01, 5.13899E+07
-6.09234E+01, 5.11828E+07
-6.06244E+01, 5.11366E+07
-6.03254E+01, 5.12952E+07
-6.00263E+01, 5.13689E+07
-5.97273E+01, 5.13228E+07
-5.94282E+01, 5.13368E+07
-5.91292E+01, 5.13987E+07
-5.88302E+01, 5.14238E+07
-5.85311E+01, 5.14086E+07
-5.82321E+01, 5.12932E+07
-5.79330E+01, 5.12326E+07
-5.76340E+01, 5.12483E+07
-5.73350E+01, 5.12398E+07
-5.70359E+01, 5.11772E+07
-5.67369E+01, 5.11434E+07
-5.64378E+01, 5.10737E+07
-5.61388E+01, 5.11332E+07
-5.58398E+01, 5.11085E+07
-5.55407E+01, 5.11055E+07
-5.52417E+01, 5.11055E+07
-5.49426E+01, 5.11350E+07
-5.46436E+01, 5.11566E+07
-5.43446E+01, 5.13410E+07
-5.40455E+01, 5.14344E+07
-5.37465E+01, 5.13437E+07
-5.34475E+01, 5.12432E+07
-5.31484E+01, 5.13178E+07
-5.28494E+01, 5.12254E+07
-5.25503E+01, 5.12688E+07
-5.22513E+01, 5.14135E+07
-5.19523E+01, 5.13393E+07
-5.16532E+01, 5.11776E+07
-5.13542E+01, 5.12505E+07
-5.10551E+01, 5.12847E+07
-5.07561E+01, 5.13246E+07
-5.04571E+01, 5.14446E+07
-5.01580E+01, 5.13740E+07
-4.98590E+01, 5.13284E+07
-4.95599E+01, 5.12753E+07
-4.92609E+01, 5.11065E+07
-4.89619E+01, 5.11131E+07
-4.86628E+01, 5.11940E+07
-4.83638E+01, 5.12241E+07
-4.80648E+01, 5.12516E+07
-4.77657E+01, 5.12828E+07
-4.74667E+01, 5.12148E+07
-4.71676E+01, 5.11694E+07
-4.68686E+01, 5.13146E+07
-4.65696E+01, 5.13836E+07
-4.62705E+01, 5.14964E+07
-4.59715E+01, 5.13113E+07
-4.56724E+01, 5.12682E+07
-4.53734E+01, 5.12658E+07
-4.50744E+01, 5.12239E+07
-4.47753E+01, 5.12345E+07
-4.44763E+01, 5.13507E+07
-4.41772E+01, 5.13989E+07
-4.38782E+01, 5.13231E+07
-4.35792E+01, 5.13076E+07
-4.32801E+01, 5.12558E+07
-4.29811E+01, 5.12153E+07
-4.26820E+01, 5.11008E+07
-4.23830E+01, 5.12262E+07
-4.20840E+01, 5.12550E+07
-4.17849E+01, 5.11696E+07
-4.14859E+01, 5.12372E+07
-4.11869E+01, 5.13058E+07
-4.08878E+01, 5.10799E+07
-4.05888E+01, 5.12275E+07
-4.02897E+01, 5.14058E+07
-3.99907E+01, 5.12223E+07
-3.96917E+01, 5.12612E+07
-3.93926E+01, 5.13773E+07
-3.90936E+01, 5.12824E+07
-3.87945E+01, 5.11396E+07
-3.84955E+01, 5.12232E+07
-3.81965E+01, 5.14187E+07
-3.78974E+01, 5.15474E+07
-3.75984E+01, 5.14422E+07
-3.72993E+01, 5.13933E+07
-3.70003E+01, 5.12456E+07
-3.67013E+01, 5.11967E+07
-3.64022E+01, 5.12679E+07
-3.61032E+01, 5.11374E+07
-3.58042E+01, 5.11542E+07
-3.55051E+01, 5.12462E+07
-3.52061E+01, 5.12054E+07
-3.49070E+01, 5.12077E+07
-3.46080E+01, 5.12150E+07
-3.43090E+01, 5.11731E+07
-3.40099E+01, 5.13841E+07
-3.37109E+01, 5.16078E+07
-3.34118E+01, 5.12744E+07
-3.31128E+01, 5.11591E+07
-3.28138E+01, 5.12567E+07
-3.25147E+01, 5.11549E+07
-3.22157E+01, 5.10110E+07
-3.19166E+01, 5.12225E+07
-3.16176E+01, 5.14019E+07
-3.13186E+01, 5.13187E+07
-3.10195E+01, 5.12563E+07
-3.07205E+01, 5.12091E+07
-3.04214E+01, 5.13756E+07
-3.01224E+01, 5.14657E+07
-2.98234E+01, 5.13441E+07
-2.95243E+01, 5.14426E+07
-2.92253E+01, 5.13304E+07
-2.89263E+01, 5.10581E+07
-2.86272E+01, 5.11881E+07
-2.83282E+01, 5.12285E+07
-2.80291E+01, 5.12149E+07
-2.77301E+01, 5.13101E+07
-2.74311E+01, 5.11500E+07
-2.71320E+01, 5.11053E+07
-2.68330E+01, 5.11599E+07
-2.65339E+01, 5.11860E+07
-2.62349E+01, 5.12967E+07
-2.59359E+01, 5.13084E+07
-2.56368E+01, 5.12599E+07
-2.53378E+01, 5.11846E+07
-2.50387E+01, 5.11102E+07
