@page size 600,600
@view 0.12,0.1,0.97,0.93
@subtitle "PHOENIX module phox, 10/30/16 at 15:29:20 -07:00"
@xaxes scale Normal
@yaxes scale Normal
@xaxis label "energy (meV)"
@yaxis label "normalized data (1/eV)"
@s0 errorbar size 0.0
@type xydy
 -1.02200E+02 -5.01152E-03  1.00230E-02
 -1.01901E+02 -5.01152E-03  1.00230E-02
 -1.01602E+02 -5.01152E-03  1.00230E-02
 -1.01303E+02 -5.01152E-03  1.00230E-02
 -1.01004E+02 -5.01163E-03  1.00230E-02
 -1.00705E+02 -5.01486E-03  1.00230E-02
 -1.00406E+02 -4.15073E-03  1.00288E-02
 -1.00107E+02  1.96690E-02  1.57245E-02
 -9.98078E+01  2.04898E-02  1.59851E-02
 -9.95087E+01 -4.99887E-03  1.00269E-02
 -9.92097E+01 -4.51573E-03  1.00230E-02
 -9.89106E+01  1.07791E-03  1.00230E-02
 -9.86116E+01  5.14613E-03  1.00901E-02
 -9.83126E+01 -5.00608E-03  1.00231E-02
 -9.80135E+01  5.66378E-03  1.03470E-02
 -9.77145E+01  4.30335E-03  1.00233E-02
 -9.74155E+01  4.01606E-03  1.00230E-02
 -9.71164E+01 -4.76445E-03  1.00230E-02
 -9.68174E+01  6.16193E-04  1.00230E-02
 -9.65183E+01  1.36225E-02  1.36665E-02
 -9.62193E+01  5.14207E-03  1.00870E-02
 -9.59203E+01  6.03682E-03  1.05230E-02
 -9.56212E+01 -5.00627E-03  1.00233E-02
 -9.53222E+01 -5.01336E-03  1.00230E-02
 -9.50231E+01 -5.01152E-03  1.00230E-02
 -9.47241E+01 -5.01166E-03  1.00230E-02
 -9.44251E+01 -4.21483E-03  1.00230E-02
 -9.41260E+01  2.84790E-03  1.00230E-02
 -9.38270E+01 -5.71419E-04  1.00230E-02
 -9.35279E+01  3.32337E-03  1.00230E-02
 -9.32289E+01 -4.78854E-03  1.00230E-02
 -9.29299E+01 -5.01265E-03  1.00230E-02
 -9.26308E+01 -5.01180E-03  1.00230E-02
 -9.23318E+01 -2.95120E-03  1.00230E-02
 -9.20327E+01  4.70125E-03  1.00230E-02
 -9.17337E+01  3.29112E-03  1.00230E-02
 -9.14347E+01 -5.00643E-03  1.00230E-02
 -9.11356E+01 -5.01282E-03  1.00230E-02
 -9.08366E+01 -3.02195E-03  1.00230E-02
 -9.05376E+01  1.97438E-03  1.00230E-02
 -9.02385E+01 -3.21085E-03  1.00230E-02
 -8.99395E+01  3.24104E-03  1.00230E-02
 -8.96404E+01 -3.21667E-03  1.00230E-02
 -8.93414E+01 -5.01139E-03  1.00230E-02
 -8.90424E+01 -5.01178E-03  1.00230E-02
 -8.87433E+01 -5.01152E-03  1.00230E-02
 -8.84443E+01 -5.01152E-03  1.00230E-02
 -8.81452E+01 -5.01152E-03  1.00230E-02
 -8.78462E+01 -5.01152E-03  1.00230E-02
 -8.75472E+01 -5.01152E-03  1.00230E-02
 -8.72481E+01 -5.01163E-03  1.00230E-02
 -8.69491E+01 -4.05753E-03  1.00230E-02
 -8.66500E+01  6.23788E-03  1.06202E-02
 -8.63510E+01 -3.10890E-03  1.00235E-02
 -8.60520E+01  2.21304E-03  1.00230E-02
 -8.57529E+01 -5.00728E-03  1.00230E-02
 -8.54539E+01 -5.01278E-03  1.00230E-02
 -8.51548E+01 -5.01152E-03  1.00230E-02
 -8.48558E+01 -5.01152E-03  1.00230E-02
 -8.45568E+01 -5.01152E-03  1.00230E-02
 -8.42577E+01 -5.01152E-03  1.00230E-02
 -8.39587E+01 -5.01193E-03  1.00230E-02
 -8.36597E+01 -2.66607E-03  1.00230E-02
 -8.33606E+01  1.28420E-03  1.00230E-02
 -8.30616E+01 -3.27334E-03  1.00230E-02
 -8.27625E+01  1.49110E-02  1.41324E-02
 -8.24635E+01  9.19373E-03  1.19307E-02
 -8.21645E+01  6.18649E-03  1.05942E-02
 -8.18654E+01 -1.57690E-04  1.00233E-02
 -8.15664E+01  6.94577E-03  1.09495E-02
 -8.12673E+01  6.29044E-03  1.06426E-02
 -8.09683E+01  1.96908E-03  1.00235E-02
 -8.06693E+01 -5.00792E-03  1.00230E-02
 -8.03702E+01 -5.01252E-03  1.00230E-02
 -8.00712E+01 -3.64039E-03  1.00230E-02
 -7.97721E+01  5.86546E-03  1.04436E-02
 -7.94731E+01  7.80888E-03  1.13347E-02
 -7.91741E+01 -5.00326E-03  1.00239E-02
 -7.88750E+01 -4.66848E-03  1.00230E-02
 -7.85760E+01  6.82692E-03  1.08959E-02
 -7.82769E+01  5.26238E-03  1.01462E-02
 -7.79779E+01 -4.43577E-03  1.00231E-02
 -7.76789E+01  8.12034E-03  1.14758E-02
 -7.73798E+01  6.59238E-03  1.07833E-02
 -7.70808E+01 -1.70255E-03  1.00236E-02
 -7.67818E+01  5.07126E-03  1.00557E-02
 -7.64827E+01  8.90790E-03  1.18113E-02
 -7.61837E+01  8.98280E-03  1.18421E-02
 -7.58846E+01 -5.00418E-03  1.00241E-02
 -7.55856E+01 -5.01408E-03  1.00230E-02
 -7.52866E+01 -4.90592E-03  1.00230E-02
 -7.49875E+01 -1.66807E-03  1.00230E-02
 -7.46885E+01  7.12543E-03  1.10308E-02
 -7.43894E+01  1.21132E-03  1.00236E-02
 -7.40904E+01 -5.01169E-03  1.00230E-02
 -7.37914E+01  1.48830E-02  1.41235E-02
 -7.34923E+01  1.46978E-02  1.40537E-02
 -7.31933E+01  3.66557E-04  1.00263E-02
 -7.28942E+01  8.98859E-04  1.00230E-02
 -7.25952E+01  4.33272E-03  1.00230E-02
 -7.22962E+01  8.12448E-03  1.14735E-02
 -7.19971E+01 -4.93958E-03  1.00238E-02
 -7.16981E+01 -2.33044E-03  1.00230E-02
 -7.13990E+01  1.59481E-03  1.00230E-02
 -7.11000E+01 -5.00825E-03  1.00230E-02
 -7.08010E+01 -4.62374E-03  1.00230E-02
 -7.05019E+01  6.12643E-03  1.05687E-02
 -7.02029E+01  1.58892E-02  1.44724E-02
 -6.99039E+01  5.97549E-03  1.04938E-02
 -6.96048E+01  1.36514E-02  1.36771E-02
 -6.93058E+01  6.99688E-03  1.09698E-02
 -6.90067E+01  2.42088E-04  1.00236E-02
 -6.87077E+01 -5.00893E-03  1.00230E-02
 -6.84087E+01 -5.01259E-03  1.00230E-02
 -6.81096E+01 -3.06015E-03  1.00230E-02
 -6.78106E+01  4.17285E-03  1.00230E-02
 -6.75115E+01  1.19473E-03  1.00230E-02
 -6.72125E+01  2.00560E-03  1.00230E-02
