@page size 600,600
@view 0.12,0.1,0.97,0.93
@subtitle "PHOENIX module phox, 10/30/16 at 15:29:20 -07:00"
@xaxes scale Normal
@yaxes scale Normal
@xaxis label "energy (meV)"
@yaxis label "data without elastic peak"
@s0 errorbar size 0.0
@type xydy
 -1.02200E+02 -5.00000E-01  1.00000E+00
 -1.01901E+02 -5.00000E-01  1.00000E+00
 -1.01602E+02 -5.00000E-01  1.00000E+00
 -1.01303E+02 -5.00000E-01  1.00000E+00
 -1.01004E+02 -5.00011E-01  1.00000E+00
 -1.00705E+02 -5.00334E-01  1.00000E+00
 -1.00406E+02 -4.14119E-01  1.00057E+00
 -1.00107E+02  1.96238E+00  1.56884E+00
 -9.98078E+01  2.04427E+00  1.59483E+00
 -9.95087E+01 -4.98739E-01  1.00038E+00
 -9.92097E+01 -4.50536E-01  1.00000E+00
 -9.89106E+01  1.07543E-01  1.00000E+00
 -9.86116E+01  5.13430E-01  1.00669E+00
 -9.83126E+01 -4.99457E-01  1.00000E+00
 -9.80135E+01  5.65076E-01  1.03233E+00
 -9.77145E+01  4.29346E-01  1.00002E+00
 -9.74155E+01  4.00683E-01  1.00000E+00
 -9.71164E+01 -4.75350E-01  1.00000E+00
 -9.68174E+01  6.14777E-02  1.00000E+00
 -9.65183E+01  1.35912E+00  1.36351E+00
 -9.62193E+01  5.13025E-01  1.00638E+00
 -9.59203E+01  6.02294E-01  1.04988E+00
 -9.56212E+01 -4.99477E-01  1.00002E+00
 -9.53222E+01 -5.00184E-01  1.00000E+00
 -9.50231E+01 -5.00000E-01  1.00000E+00
 -9.47241E+01 -5.00015E-01  1.00000E+00
 -9.44251E+01 -4.20514E-01  1.00000E+00
 -9.41260E+01  2.84135E-01  1.00000E+00
 -9.38270E+01 -5.70106E-02  1.00000E+00
 -9.35279E+01  3.31574E-01  1.00000E+00
 -9.32289E+01 -4.77754E-01  1.00000E+00
 -9.29299E+01 -5.00113E-01  1.00000E+00
 -9.26308E+01 -5.00028E-01  1.00000E+00
 -9.23318E+01 -2.94442E-01  1.00000E+00
 -9.20327E+01  4.69044E-01  1.00000E+00
 -9.17337E+01  3.28356E-01  1.00000E+00
 -9.14347E+01 -4.99493E-01  1.00000E+00
 -9.11356E+01 -5.00131E-01  1.00000E+00
 -9.08366E+01 -3.01500E-01  1.00000E+00
 -9.05376E+01  1.96984E-01  1.00000E+00
 -9.02385E+01 -3.20347E-01  1.00000E+00
 -8.99395E+01  3.23359E-01  1.00000E+00
 -8.96404E+01 -3.20928E-01  1.00000E+00
 -8.93414E+01 -4.99987E-01  1.00000E+00
 -8.90424E+01 -5.00027E-01  1.00000E+00
 -8.87433E+01 -5.00000E-01  1.00000E+00
 -8.84443E+01 -5.00000E-01  1.00000E+00
 -8.81452E+01 -5.00000E-01  1.00000E+00
 -8.78462E+01 -5.00000E-01  1.00000E+00
 -8.75472E+01 -5.00000E-01  1.00000E+00
 -8.72481E+01 -5.00011E-01  1.00000E+00
 -8.69491E+01 -4.04820E-01  1.00000E+00
 -8.66500E+01  6.22354E-01  1.05958E+00
 -8.63510E+01 -3.10176E-01  1.00005E+00
 -8.60520E+01  2.20795E-01  1.00000E+00
 -8.57529E+01 -4.99578E-01  1.00000E+00
 -8.54539E+01 -5.00126E-01  1.00000E+00
 -8.51548E+01 -5.00000E-01  1.00000E+00
 -8.48558E+01 -5.00000E-01  1.00000E+00
 -8.45568E+01 -5.00000E-01  1.00000E+00
 -8.42577E+01 -5.00000E-01  1.00000E+00
 -8.39587E+01 -5.00042E-01  1.00000E+00
 -8.36597E+01 -2.65994E-01  1.00000E+00
 -8.33606E+01  1.28125E-01  1.00000E+00
 -8.30616E+01 -3.26582E-01  1.00000E+00
 -8.27625E+01  1.48768E+00  1.41000E+00
 -8.24635E+01  9.17260E-01  1.19033E+00
 -8.21645E+01  6.17228E-01  1.05699E+00
 -8.18654E+01 -1.57327E-02  1.00003E+00
 -8.15664E+01  6.92981E-01  1.09244E+00
 -8.12673E+01  6.27599E-01  1.06181E+00
 -8.09683E+01  1.96456E-01  1.00005E+00
 -8.06693E+01 -4.99641E-01  1.00000E+00
 -8.03702E+01 -5.00100E-01  1.00000E+00
 -8.00712E+01 -3.63203E-01  1.00000E+00
 -7.97721E+01  5.85198E-01  1.04196E+00
 -7.94731E+01  7.79093E-01  1.13087E+00
 -7.91741E+01 -4.99176E-01  1.00009E+00
 -7.88750E+01 -4.65775E-01  1.00000E+00
 -7.85760E+01  6.81123E-01  1.08709E+00
 -7.82769E+01  5.25029E-01  1.01229E+00
 -7.79779E+01 -4.42557E-01  1.00001E+00
 -7.76789E+01  8.10168E-01  1.14495E+00
 -7.73798E+01  6.57723E-01  1.07585E+00
 -7.70808E+01 -1.69863E-01  1.00006E+00
 -7.67818E+01  5.05961E-01  1.00326E+00
 -7.64827E+01  8.88743E-01  1.17842E+00
 -7.61837E+01  8.96216E-01  1.18149E+00
 -7.58846E+01 -4.99268E-01  1.00010E+00
 -7.55856E+01 -5.00256E-01  1.00000E+00
 -7.52866E+01 -4.89465E-01  1.00000E+00
 -7.49875E+01 -1.66424E-01  1.00000E+00
 -7.46885E+01  7.10906E-01  1.10054E+00
 -7.43894E+01  1.20853E-01  1.00006E+00
 -7.40904E+01 -5.00018E-01  1.00000E+00
 -7.37914E+01  1.48488E+00  1.40911E+00
 -7.34923E+01  1.46640E+00  1.40214E+00
 -7.31933E+01  3.65715E-02  1.00033E+00
 -7.28942E+01  8.96793E-02  1.00000E+00
 -7.25952E+01  4.32276E-01  1.00000E+00
 -7.22962E+01  8.10581E-01  1.14471E+00
 -7.19971E+01 -4.92823E-01  1.00008E+00
 -7.16981E+01 -2.32508E-01  1.00000E+00
 -7.13990E+01  1.59115E-01  1.00000E+00
 -7.11000E+01 -4.99674E-01  1.00000E+00
 -7.08010E+01 -4.61311E-01  1.00000E+00
 -7.05019E+01  6.11235E-01  1.05444E+00
 -7.02029E+01  1.58526E+00  1.44392E+00
 -6.99039E+01  5.96176E-01  1.04697E+00
 -6.96048E+01  1.36201E+00  1.36457E+00
 -6.93058E+01  6.98081E-01  1.09446E+00
 -6.90067E+01  2.41532E-02  1.00005E+00
 -6.87077E+01 -4.99742E-01  1.00000E+00
 -6.84087E+01 -5.00107E-01  1.00000E+00
 -6.81096E+01 -3.05312E-01  1.00000E+00
 -6.78106E+01  4.16326E-01  1.00000E+00
 -6.75115E+01  1.19198E-01  1.00000E+00
 -6.72125E+01  2.00099E-01  1.00000E+00
