PHOENIX module padd; 10/30/16 at 15:29:20 -07:00
energy (meV),shifted spectra
-9.94995E+01, 0.00000E+00
-9.92004E+01, 0.00000E+00
-9.89014E+01, 0.00000E+00
-9.86023E+01, 0.00000E+00
-9.83033E+01, 0.00000E+00
-9.80043E+01, 9.46539E-01
-9.77052E+01, 6.29259E-02
-9.74062E+01, 0.00000E+00
-9.71072E+01, 0.00000E+00
-9.68081E+01, 0.00000E+00
-9.65091E+01, 0.00000E+00
-9.62100E+01, 3.78257E-02
-9.59110E+01, 9.78783E-01
-9.56120E+01, 0.00000E+00
-9.53129E+01, 0.00000E+00
-9.50139E+01, 0.00000E+00
-9.47148E+01, 0.00000E+00
-9.44158E+01, 9.43132E-02
-9.41168E+01, 9.28925E-01
-9.38177E+01, 0.00000E+00
-9.35187E+01, 0.00000E+00
-9.32196E+01, 0.00000E+00
-9.29206E+01, 0.00000E+00
-9.26216E+01, 0.00000E+00
-9.23225E+01, 0.00000E+00
-9.20235E+01, 1.06026E-01
-9.17245E+01, 9.02187E-01
-9.14254E+01, 0.00000E+00
-9.11264E+01, 0.00000E+00
-9.08273E+01, 0.00000E+00
-9.05283E+01, 0.00000E+00
-9.02293E+01, 0.00000E+00
-8.99302E+01, 0.00000E+00
-8.96312E+01, 0.00000E+00
-8.93321E+01, 0.00000E+00
-8.90331E+01, 0.00000E+00
-8.87341E+01, 0.00000E+00
-8.84350E+01, 0.00000E+00
-8.81360E+01, 0.00000E+00
-8.78369E+01, 0.00000E+00
-8.75379E+01, 0.00000E+00
-8.72389E+01, 0.00000E+00
-8.69398E+01, 0.00000E+00
-8.66408E+01, 0.00000E+00
-8.63417E+01, 2.23847E-01
-8.60427E+01, 8.54010E-01
-8.57437E+01, 0.00000E+00
-8.54446E+01, 0.00000E+00
-8.51456E+01, 0.00000E+00
-8.48466E+01, 0.00000E+00
-8.45475E+01, 0.00000E+00
-8.42485E+01, 0.00000E+00
-8.39494E+01, 0.00000E+00
-8.36504E+01, 2.77342E-01
-8.33514E+01, 7.43954E-01
-8.30523E+01, 1.90272E-01
-8.27533E+01, 1.09079E+00
-8.24542E+01, 7.44963E-01
-8.21552E+01, 0.00000E+00
-8.18562E+01, 0.00000E+00
-8.15571E+01, 2.06417E-01
-8.12581E+01, 1.07339E+00
-8.09590E+01, 8.24236E-01
-8.06600E+01, 0.00000E+00
-8.03610E+01, 0.00000E+00
-8.00619E+01, 0.00000E+00
-7.97629E+01, 0.00000E+00
-7.94639E+01, 0.00000E+00
-7.91648E+01, 0.00000E+00
-7.88658E+01, 0.00000E+00
-7.85667E+01, 2.97223E-01
-7.82677E+01, 7.63686E-01
-7.79687E+01, 0.00000E+00
-7.76696E+01, 0.00000E+00
-7.73706E+01, 0.00000E+00
-7.70715E+01, 0.00000E+00
-7.67725E+01, 0.00000E+00
-7.64735E+01, 0.00000E+00
-7.61744E+01, 0.00000E+00
-7.58754E+01, 0.00000E+00
-7.55763E+01, 0.00000E+00
-7.52773E+01, 0.00000E+00
-7.49783E+01, 0.00000E+00
-7.46792E+01, 0.00000E+00
-7.43802E+01, 0.00000E+00
-7.40811E+01, 0.00000E+00
