Date of conversion : 10/30/16,Time of conversion : 15:29:20 -07:00
Fit function for dominant peak from file "mono.res",asymmetry factor :  1.00
,detailed imbalance,Chi^2,peak,FWHM,position,%background,input file
  ,ok,   1.62,3.35E+03,  0.99,  -0.221,   2.01,   scan112.raw
  ,??,   1.48,3.01E+03,  0.92,  -4.540,   2.37,   scan115.raw
  ,ok,   1.20,1.59E+03,  1.00,   0.674,   2.64,   scan118.raw
  , ?,   3.39,1.60E+03,  1.03,   0.669,   2.36,   scan119.raw

PHOENIX module padd; 10/30/16 at 15:29:20 -07:00
energy (meV),counts,error of counts
-1.02191E+02, 0.00000E+00, 0.00000E+00
-1.01892E+02, 0.00000E+00, 0.00000E+00
-1.01593E+02, 0.00000E+00, 0.00000E+00
-1.01294E+02, 0.00000E+00, 0.00000E+00
-1.00995E+02, 0.00000E+00, 0.00000E+00
-1.00696E+02, 0.00000E+00, 0.00000E+00
-1.00397E+02, 8.40145E-02, 5.85268E-01
-1.00098E+02, 2.46118E+00, 3.11319E+00
-9.97985E+01, 2.54355E+00, 0.00000E+00
-9.94995E+01, 0.00000E+00, 0.00000E+00
-9.92004E+01, 5.00403E-02, 4.59479E-01
-9.89014E+01, 6.07910E-01, 1.37395E+00
-9.86023E+01, 1.01344E+00, 0.00000E+00
-9.83033E+01, 0.00000E+00, 0.00000E+00
-9.80043E+01, 1.06573E+00, 1.08534E+00
-9.77052E+01, 9.29054E-01, 1.57678E+00
-9.74062E+01, 9.00559E-01, 7.75589E-02
-9.71072E+01, 2.43184E-02, 6.35931E-01
-9.68081E+01, 5.62185E-01, 1.34190E+00
-9.65091E+01, 1.85962E+00, 1.55209E+00
-9.62100E+01, 1.01219E+00, 2.18975E-01
-9.59110E+01, 1.10231E+00, 1.10402E+00
-9.56120E+01, 0.00000E+00, 0.00000E+00
-9.53129E+01, 0.00000E+00, 0.00000E+00
-9.50139E+01, 0.00000E+00, 0.00000E+00
-9.47148E+01, 0.00000E+00, 0.00000E+00
-9.44158E+01, 7.96419E-02, 2.57216E-01
-9.41168E+01, 7.84423E-01, 8.07227E-01
-9.38177E+01, 4.42702E-01, 1.15105E+00
-9.35187E+01, 8.31724E-01, 1.92455E-01
-9.32196E+01, 2.15564E-02, 0.00000E+00
-9.29206E+01, 0.00000E+00, 0.00000E+00
-9.26216E+01, 0.00000E+00, 0.00000E+00
-9.23225E+01, 2.05835E-01, 4.79099E-01
-9.20235E+01, 9.69428E-01, 1.01029E+00
-9.17245E+01, 8.28121E-01, 7.96383E-01
-9.14254E+01, 0.00000E+00, 0.00000E+00
-9.11264E+01, 0.00000E+00, 0.00000E+00
-9.08273E+01, 1.98730E-01, 8.25757E-01
-9.05283E+01, 6.97170E-01, 2.44036E-01
-9.02293E+01, 1.79436E-01, 4.60801E-01
-8.99302E+01, 8.23760E-01, 9.66947E-01
-8.96312E+01, 1.78627E-01, 0.00000E+00
-8.93321E+01, 0.00000E+00, 0.00000E+00
-8.90331E+01, 0.00000E+00, 0.00000E+00
-8.87341E+01, 0.00000E+00, 0.00000E+00
-8.84350E+01, 0.00000E+00, 0.00000E+00
-8.81360E+01, 0.00000E+00, 0.00000E+00
-8.78369E+01, 0.00000E+00, 0.00000E+00
-8.75379E+01, 0.00000E+00, 0.00000E+00
-8.72389E+01, 0.00000E+00, 0.00000E+00
-8.69398E+01, 9.54204E-02, 1.17328E+00
-8.66408E+01, 1.12278E+00, 0.00000E+00
-8.63417E+01, 1.89025E-01, 3.97862E-01
-8.60427E+01, 7.21161E-01, 7.76664E-01
-8.57437E+01, 0.00000E+00, 0.00000E+00
-8.54446E+01, 0.00000E+00, 0.00000E+00
-8.51456E+01, 0.00000E+00, 0.00000E+00
-8.48466E+01, 0.00000E+00, 0.00000E+00
-8.45475E+01, 0.00000E+00, 0.00000E+00
-8.42485E+01, 0.00000E+00, 0.00000E+00
-8.39494E+01, 0.00000E+00, 0.00000E+00
-8.36504E+01, 2.34199E-01, 4.43828E-01
