@page size 600,600
@view 0.12,0.1,0.97,0.93
@subtitle "PHOENIX module psth, 10/31/16 at 12:09:40 -07:00"
@xaxes scale Normal
@yaxes scale Normal
@xaxis label "time (ps)"
@yaxis label "impact displacement (pm)"
@s0 errorbar size 0.0
@type xydy
  0.00000E+00  6.68184E+00  2.49198E-02
  1.58268E-02  5.49300E+00  1.52264E-02
  3.16536E-02  2.48422E+00  1.30758E-03
  4.74804E-02 -9.74252E-01  9.49078E-03
  6.33072E-02 -3.42931E+00  1.28460E-02
  7.91340E-02 -4.07442E+00  1.10405E-02
  9.49608E-02 -3.06977E+00  1.14130E-02
  1.10788E-01 -1.30738E+00  1.15221E-02
  1.26614E-01  1.87551E-01  6.23031E-03
  1.42441E-01  8.30236E-01  2.82367E-03
  1.58268E-01  6.92366E-01  1.02513E-02
  1.74095E-01  2.84843E-01  1.14289E-02
  1.89922E-01  1.10453E-01  5.87050E-03
  2.05748E-01  3.10474E-01  2.73237E-03
  2.21575E-01  6.27294E-01  8.38157E-03
  2.37402E-01  6.66757E-01  6.91479E-03
  2.53229E-01  2.39720E-01  2.46684E-04
  2.69056E-01 -4.72909E-01  8.13923E-03
  2.84882E-01 -1.04250E+00  1.15159E-02
  3.00709E-01 -1.10090E+00  8.33566E-03
  3.16536E-01 -6.04888E-01  1.03321E-03
  3.32363E-01  1.31882E-01  5.27904E-03
  3.48190E-01  6.56459E-01  6.41788E-03
  3.64016E-01  6.83865E-01  1.96758E-03
  3.79843E-01  2.77359E-01  4.72926E-03
  3.95670E-01 -2.18218E-01  8.82410E-03
  4.11497E-01 -4.33059E-01  7.30413E-03
  4.27324E-01 -2.32229E-01  1.04177E-03
  4.43150E-01  2.02342E-01  5.89891E-03
  4.58977E-01  5.17164E-01  9.09748E-03
  4.74804E-01  4.48620E-01  6.75667E-03
  4.90631E-01  1.27211E-02  8.12841E-04
  5.06458E-01 -5.07453E-01  4.49827E-03
  5.22284E-01 -7.61555E-01  5.55708E-03
  5.38111E-01 -5.74472E-01  1.81963E-03
  5.53938E-01 -6.27897E-02  3.80366E-03
  5.69765E-01  4.50221E-01  7.30311E-03
  5.85592E-01  6.55341E-01  6.15632E-03
  6.01419E-01  4.58387E-01  9.57797E-04
  6.17245E-01  2.69996E-02  5.00505E-03
  6.33072E-01 -3.39380E-01  8.00768E-03
  6.48899E-01 -4.17753E-01  6.37937E-03
  6.64726E-01 -2.02347E-01  1.55192E-03
  6.80553E-01  1.12626E-01  3.00601E-03
  6.96379E-01  2.85077E-01  4.29826E-03
  7.12206E-01  1.98164E-01  1.61476E-03
  7.28033E-01 -6.64344E-02  3.16212E-03
  7.43860E-01 -2.99319E-01  6.61171E-03
  7.59687E-01 -3.20137E-01  6.28244E-03
  7.75513E-01 -1.06103E-01  2.33568E-03
  7.91340E-01  1.95911E-01  2.62672E-03
  8.07167E-01  3.76560E-01  5.35884E-03
  8.22994E-01  3.10845E-01  4.16074E-03
  8.38821E-01  4.17869E-02  3.57606E-07
  8.54647E-01 -2.53282E-01  4.19679E-03
  8.70474E-01 -3.85315E-01  5.55953E-03
  8.86301E-01 -2.78069E-01  3.18534E-03
  9.02128E-01 -1.14399E-02  1.29776E-03
  9.17955E-01  2.39940E-01  4.86967E-03
  9.33781E-01  3.25159E-01  5.17978E-03
  9.49608E-01  2.10623E-01  2.12448E-03
  9.65435E-01 -1.02560E-02  2.12052E-03
  9.81262E-01 -1.90053E-01  4.61412E-03
  9.97089E-01 -2.27487E-01  3.66313E-03
  1.01292E+00 -1.26453E-01  3.91273E-05
  1.02874E+00  2.06038E-02  3.91285E-03
  1.04457E+00  1.05979E-01  5.27053E-03
  1.06040E+00  8.18193E-02  3.14732E-03
  1.07622E+00 -1.36877E-02  1.06450E-03
  1.09205E+00 -9.21535E-02  4.59438E-03
  1.10788E+00 -8.29656E-02  5.19660E-03
  1.12370E+00  1.56858E-02  2.66694E-03
  1.13953E+00  1.36568E-01  1.05868E-03
  1.15536E+00  1.91224E-01  3.29273E-03
  1.17118E+00  1.31202E-01  2.51285E-03
  1.18701E+00 -1.86373E-02  7.44333E-04
  1.20284E+00 -1.75342E-01  4.21204E-03
  1.21866E+00 -2.49722E-01  5.42434E-03
  1.23449E+00 -2.00441E-01  3.46470E-03
  1.25032E+00 -5.68064E-02  4.21375E-04
  1.26614E+00  1.01656E-01  3.70872E-03
  1.28197E+00  1.93646E-01  4.32938E-03
  1.29780E+00  1.81734E-01  2.05125E-03
  1.31362E+00  8.86657E-02  1.43450E-03
  1.32945E+00 -2.25191E-02  3.58787E-03
  1.34528E+00 -8.94840E-02  2.85519E-03
  1.36111E+00 -8.65572E-02  2.22893E-04
  1.37693E+00 -3.48380E-02  3.51533E-03
  1.39276E+00  1.72105E-02  4.76666E-03
  1.40859E+00  2.83371E-02  3.12889E-03
  1.42441E+00 -8.33175E-03  2.81683E-04
  1.44024E+00 -6.22786E-02  3.17136E-03
  1.45607E+00 -8.77178E-02  3.64370E-03
  1.47189E+00 -5.59585E-02  1.47724E-03
  1.48772E+00  2.32508E-02  1.75538E-03
  1.50355E+00  1.05626E-01  3.78668E-03
  1.51937E+00  1.39613E-01  3.20783E-03
  1.53520E+00  9.98899E-02  4.14979E-04
  1.55103E+00  5.36318E-03  2.68600E-03
  1.56685E+00 -9.07472E-02  3.99787E-03
  1.58268E+00 -1.33342E-01  2.66377E-03
  1.59851E+00 -1.00031E-01  3.61795E-04
  1.61433E+00 -1.53728E-02  2.98076E-03
  1.63016E+00  6.50561E-02  3.39159E-03
  1.64599E+00  9.08770E-02  1.31574E-03
  1.66181E+00  4.97393E-02  1.82365E-03
  1.67764E+00 -2.51825E-02  3.88316E-03
  1.69347E+00 -7.83526E-02  3.45954E-03
  1.70929E+00 -7.02997E-02  8.36203E-04
  1.72512E+00 -5.17567E-03  2.22255E-03
  1.74095E+00  7.16926E-02  3.68245E-03
  1.75678E+00  1.05006E-01  2.62208E-03
  1.77260E+00  6.82117E-02  1.59913E-04
  1.78843E+00 -1.71423E-02  2.68903E-03
  1.80426E+00 -9.52571E-02  3.13808E-03
  1.82008E+00 -1.14030E-01  1.13965E-03
  1.83591E+00 -6.09718E-02  1.98519E-03
  1.85174E+00  2.79544E-02  4.14924E-03
  1.86756E+00  9.29873E-02  3.91755E-03
  1.88339E+00  9.17027E-02  1.47739E-03
  1.89922E+00  2.79822E-02  1.49909E-03
  1.91504E+00 -5.14188E-02  3.00272E-03
  1.93087E+00 -9.01992E-02  2.06779E-03
  1.94670E+00 -6.21762E-02  5.63376E-04
  1.96252E+00  1.07105E-02  2.99947E-03
  1.97835E+00  7.46687E-02  3.49473E-03
  1.99418E+00  8.28702E-02  1.63043E-03
  2.01000E+00  2.90946E-02  1.39116E-03
  2.02583E+00 -4.77883E-02  3.56939E-03
  2.04166E+00 -9.16763E-02  3.47255E-03
  2.05748E+00 -6.95529E-02  1.20864E-03
  2.07331E+00  4.48904E-03  1.66056E-03
  2.08914E+00  7.86814E-02  3.19435E-03
  2.10496E+00  9.98638E-02  2.39473E-03
  2.12079E+00  5.09933E-02  1.27749E-04
  2.13662E+00 -3.65420E-02  2.59043E-03
  2.15245E+00 -1.04367E-01  3.26816E-03
  2.16827E+00 -1.07151E-01  1.66953E-03
  2.18410E+00 -4.32403E-02  1.14021E-03
  2.19993E+00  4.51007E-02  3.27867E-03
  2.21575E+00  1.01312E-01  3.33269E-03
  2.23158E+00  9.28111E-02  1.31158E-03
  2.24741E+00  3.13319E-02  1.37578E-03
  2.26323E+00 -3.79030E-02  2.89315E-03
  2.27906E+00 -6.92841E-02  2.22417E-03
  2.29489E+00 -4.81347E-02  1.56557E-04
  2.31071E+00  1.54424E-03  2.62235E-03
  2.32654E+00  3.71984E-02  3.50604E-03
  2.34237E+00  3.01308E-02  2.22915E-03
  2.35819E+00 -1.35202E-02  3.19991E-04
  2.37402E+00 -5.79884E-02  2.40510E-03
  2.38985E+00 -6.48601E-02  2.62647E-03
  2.40567E+00 -2.19537E-02  8.71397E-04
  2.42150E+00  4.67025E-02  1.61398E-03
  2.43733E+00  9.67675E-02  3.10064E-03
  2.45315E+00  9.39366E-02  2.54582E-03
  2.46898E+00  3.74211E-02  2.82091E-04
  2.48481E+00 -3.95011E-02  2.21449E-03
  2.50063E+00 -9.16948E-02  3.32618E-03
  2.51646E+00 -9.14185E-02  2.38185E-03
  2.53229E+00 -4.47665E-02  9.42123E-05
  2.54812E+00  1.49438E-02  1.94383E-03
  2.56394E+00  5.09794E-02  2.35028E-03
  2.57977E+00  4.71191E-02  8.81255E-04
  2.59560E+00  1.56905E-02  1.41628E-03
  2.61142E+00 -1.43917E-02  2.92493E-03
  2.62725E+00 -1.97715E-02  2.56560E-03
  2.64308E+00  1.10293E-03  5.29415E-04
  2.65890E+00  2.85241E-02  1.86074E-03
  2.67473E+00  3.73851E-02  3.05449E-03
  2.69056E+00  1.62989E-02  2.32221E-03
  2.70638E+00 -2.37038E-02  2.35001E-04
  2.72221E+00 -5.66701E-02  1.74221E-03
  2.73804E+00 -5.97170E-02  2.25847E-03
  2.75386E+00 -2.88264E-02  9.96201E-04
  2.76969E+00  1.82595E-02  1.13183E-03
  2.78552E+00  5.36351E-02  2.63081E-03
  2.80134E+00  5.71813E-02  2.44459E-03
  2.81717E+00  2.89072E-02  6.68267E-04
  2.83300E+00 -1.20328E-02  1.52828E-03
  2.84882E+00 -4.03278E-02  2.70742E-03
  2.86465E+00 -4.05618E-02  2.13992E-03
  2.88048E+00 -1.59844E-02  2.81618E-04
  2.89630E+00  1.50421E-02  1.56313E-03
  2.91213E+00  3.18265E-02  2.12935E-03
  2.92796E+00  2.46595E-02  1.04398E-03
  2.94379E+00  2.05146E-04  9.24901E-04
  2.95961E+00 -2.39155E-02  2.42453E-03
  2.97544E+00 -3.12438E-02  2.45320E-03
  2.99127E+00 -1.72097E-02  1.03137E-03
  3.00709E+00  8.31975E-03  8.35924E-04
  3.02292E+00  2.79644E-02  1.86656E-03
  3.03875E+00  2.84617E-02  1.38515E-03
  3.05457E+00  9.39821E-03  2.41569E-04
  3.07040E+00 -1.65480E-02  1.87907E-03
  3.08623E+00 -3.19362E-02  2.39672E-03
  3.10205E+00 -2.60540E-02  1.43647E-03
  3.11788E+00 -2.11768E-03  3.59469E-04
  3.13371E+00  2.45616E-02  1.80567E-03
  3.14953E+00  3.64019E-02  1.98708E-03
  3.16536E+00  2.50948E-02  8.68524E-04
  3.18119E+00 -2.68393E-03  7.07287E-04
  3.19701E+00 -2.93266E-02  1.61363E-03
  3.21284E+00 -3.77013E-02  1.21291E-03
  3.22867E+00 -2.25318E-02  2.12544E-04
  3.24449E+00  5.88135E-03  1.67014E-03
  3.26032E+00  2.83509E-02  2.14708E-03
  3.27615E+00  2.97058E-02  1.29895E-03
  3.29197E+00  9.30245E-03  3.28590E-04
  3.30780E+00 -1.81684E-02  1.68634E-03
  3.32363E+00 -3.25105E-02  1.94262E-03
  3.33946E+00 -2.20843E-02  1.04270E-03
  3.35528E+00  7.52402E-03  2.77230E-04
  3.37111E+00  3.65265E-02  1.08951E-03
  3.38694E+00  4.40626E-02  8.02001E-04
  3.40276E+00  2.27126E-02  4.45623E-04
  3.41859E+00 -1.56646E-02  1.74816E-03
  3.43442E+00 -4.71763E-02  2.18079E-03
  3.45024E+00 -5.16609E-02  1.42476E-03
  3.46607E+00 -2.63167E-02  2.77816E-05
  3.48190E+00  1.22817E-02  1.22192E-03
  3.49772E+00  3.93889E-02  1.39216E-03
  3.51355E+00  3.89122E-02  4.52701E-04
  3.52938E+00  1.41844E-02  8.56355E-04
  3.54520E+00 -1.49007E-02  1.54499E-03
  3.56103E+00 -2.64328E-02  1.15876E-03
  3.57686E+00 -1.24232E-02  5.19365E-05
  3.59268E+00  1.52928E-02  1.26911E-03
  3.60851E+00  3.36083E-02  1.67330E-03
  3.62434E+00  2.52439E-02  1.01199E-03
  3.64016E+00 -7.82122E-03  2.33561E-04
  3.65599E+00 -4.44745E-02  1.18986E-03
  3.67182E+00 -5.85566E-02  1.19016E-03
  3.68765E+00 -3.73068E-02  2.42789E-04
  3.70347E+00  8.82109E-03  9.81396E-04
  3.71930E+00  5.21800E-02  1.63050E-03
  3.73513E+00  6.59956E-02  1.26467E-03
  3.75095E+00  4.21770E-02  1.52919E-04
  3.76678E+00 -3.39007E-03  9.26468E-04
  3.78261E+00 -4.17105E-02  1.23600E-03
  3.79843E+00 -5.01599E-02  5.92536E-04
  3.81426E+00 -2.71311E-02  5.12004E-04
  3.83009E+00  8.08764E-03  1.26159E-03
  3.84591E+00  2.97261E-02  1.08959E-03
  3.86174E+00  2.38248E-02  7.29070E-05
  3.87757E+00 -2.49803E-03  1.12478E-03
  3.89339E+00 -2.70918E-02  1.71552E-03
  3.90922E+00 -2.94739E-02  1.33009E-03
  3.92505E+00 -6.05404E-03  2.65623E-04
  3.94087E+00  2.70290E-02  7.27864E-04
  3.95670E+00  4.54193E-02  9.57282E-04
  3.97253E+00  3.41279E-02  1.02870E-04
  3.98835E+00 -1.36156E-03  9.02121E-04
  4.00418E+00 -3.83741E-02  1.47353E-03
  4.02001E+00 -5.24410E-02  1.16751E-03
  4.03583E+00 -3.40585E-02  8.54130E-05
  4.05166E+00  4.81901E-03  1.12726E-03
  4.06749E+00  3.89363E-02  1.72705E-03
  4.08332E+00  4.67674E-02  1.38454E-03
  4.09914E+00  2.46631E-02  4.11409E-04
