PHOENIX module psth; 10/31/16 at 12:16:51 -07:00
temperature (K),vibrational specific heat (k_B/atom),error of vibrational specific heat (k_B/atom)
 1.00000E-01, 1.07823E-09, 1.06786E-11
 1.00995E+01, 2.13245E-03, 2.08644E-06
 2.00990E+01, 1.86890E-02, 1.23834E-05
 3.00985E+01, 7.59462E-02, 4.14025E-05
 4.00980E+01, 1.98720E-01, 1.05206E-04
 5.00975E+01, 3.82288E-01, 2.00753E-04
 6.00970E+01, 6.02794E-01, 3.13101E-04
 7.00965E+01, 8.35365E-01, 4.29948E-04
 8.00960E+01, 1.06206E+00, 5.43726E-04
 9.00955E+01, 1.27258E+00, 6.50257E-04
 1.00095E+02, 1.46238E+00, 7.47536E-04
 1.10095E+02, 1.63047E+00, 8.34930E-04
 1.20094E+02, 1.77785E+00, 9.12631E-04
 1.30094E+02, 1.90639E+00, 9.81286E-04
 1.40093E+02, 2.01828E+00, 1.04175E-03
 1.50093E+02, 2.11569E+00, 1.09493E-03
 1.60092E+02, 2.20063E+00, 1.14172E-03
 1.70092E+02, 2.27487E+00, 1.18295E-03
 1.80091E+02, 2.33995E+00, 1.21933E-03
 1.90091E+02, 2.39718E+00, 1.25153E-03
 2.00090E+02, 2.44770E+00, 1.28009E-03
 2.10090E+02, 2.49243E+00, 1.30550E-03
 2.20089E+02, 2.53218E+00, 1.32818E-03
 2.30089E+02, 2.56762E+00, 1.34848E-03
 2.40088E+02, 2.59934E+00, 1.36670E-03
 2.50088E+02, 2.62780E+00, 1.38310E-03
 2.60087E+02, 2.65344E+00, 1.39790E-03
 2.70087E+02, 2.67658E+00, 1.41130E-03
 2.80086E+02, 2.69755E+00, 1.42347E-03
 2.90086E+02, 2.71659E+00, 1.43454E-03
 3.00085E+02, 2.73393E+00, 1.44464E-03
 3.10085E+02, 2.74976E+00, 1.45387E-03
 3.20084E+02, 2.76425E+00, 1.46233E-03
 3.30084E+02, 2.77754E+00, 1.47010E-03
 3.40083E+02, 2.78976E+00, 1.47726E-03
 3.50083E+02, 2.80101E+00, 1.48385E-03
 3.60082E+02, 2.81140E+00, 1.48995E-03
 3.70082E+02, 2.82101E+00, 1.49559E-03
 3.80081E+02, 2.82991E+00, 1.50083E-03
 3.90081E+02, 2.83817E+00, 1.50569E-03
 4.00080E+02, 2.84586E+00, 1.51021E-03
 4.10080E+02, 2.85301E+00, 1.51443E-03
 4.20079E+02, 2.85969E+00, 1.51836E-03
 4.30079E+02, 2.86592E+00, 1.52204E-03
 4.40078E+02, 2.87175E+00, 1.52548E-03
 4.50078E+02, 2.87722E+00, 1.52871E-03
 4.60077E+02, 2.88234E+00, 1.53174E-03
 4.70077E+02, 2.88716E+00, 1.53459E-03
 4.80076E+02, 2.89168E+00, 1.53726E-03
 4.90076E+02, 2.89595E+00, 1.53978E-03
 5.00075E+02, 2.89997E+00, 1.54216E-03
 5.10075E+02, 2.90376E+00, 1.54441E-03
 5.20074E+02, 2.90734E+00, 1.54653E-03
 5.30074E+02, 2.91072E+00, 1.54854E-03
 5.40073E+02, 2.91393E+00, 1.55044E-03
 5.50073E+02, 2.91697E+00, 1.55224E-03
 5.60072E+02, 2.91985E+00, 1.55394E-03
 5.70072E+02, 2.92258E+00, 1.55557E-03
 5.80071E+02, 2.92518E+00, 1.55711E-03
 5.90071E+02, 2.92765E+00, 1.55857E-03
 6.00070E+02, 2.93000E+00, 1.55997E-03
 6.10070E+02, 2.93224E+00, 1.56129E-03
 6.20069E+02, 2.93437E+00, 1.56256E-03
 6.30069E+02, 2.93640E+00, 1.56377E-03
 6.40068E+02, 2.93835E+00, 1.56492E-03
 6.50068E+02, 2.94020E+00, 1.56602E-03
 6.60067E+02, 2.94197E+00, 1.56708E-03
 6.70067E+02, 2.94367E+00, 1.56809E-03
 6.80066E+02, 2.94529E+00, 1.56905E-03
 6.90066E+02, 2.94684E+00, 1.56997E-03
 7.00065E+02, 2.94833E+00, 1.57086E-03
 7.10065E+02, 2.94976E+00, 1.57171E-03
 7.20064E+02, 2.95113E+00, 1.57252E-03
 7.30064E+02, 2.95244E+00, 1.57330E-03
 7.40063E+02, 2.95370E+00, 1.57405E-03
 7.50063E+02, 2.95492E+00, 1.57477E-03
 7.60062E+02, 2.95608E+00, 1.57547E-03
 7.70062E+02, 2.95720E+00, 1.57614E-03
 7.80061E+02, 2.95828E+00, 1.57678E-03
 7.90061E+02, 2.95932E+00, 1.57740E-03
 8.00060E+02, 2.96032E+00, 1.57799E-03
 8.10060E+02, 2.96129E+00, 1.57857E-03
 8.20059E+02, 2.96222E+00, 1.57912E-03
 8.30059E+02, 2.96311E+00, 1.57965E-03
 8.40058E+02, 2.96398E+00, 1.58017E-03
 8.50058E+02, 2.96481E+00, 1.58067E-03
 8.60057E+02, 2.96562E+00, 1.58115E-03
 8.70057E+02, 2.96640E+00, 1.58161E-03
 8.80056E+02, 2.96715E+00, 1.58206E-03
 8.90056E+02, 2.96788E+00, 1.58249E-03
 9.00055E+02, 2.96858E+00, 1.58291E-03
 9.10055E+02, 2.96927E+00, 1.58332E-03
 9.20054E+02, 2.96992E+00, 1.58371E-03
 9.30054E+02, 2.97056E+00, 1.58409E-03
 9.40053E+02, 2.97118E+00, 1.58446E-03
 9.50053E+02, 2.97178E+00, 1.58482E-03
 9.60052E+02, 2.97236E+00, 1.58516E-03
