PHOENIX module psth; 10/31/16 at 12:16:51 -07:00
temperature (K),vibrational entropy (k_B/atom),error of vibrational entropy (k_B/atom)
 1.00000E-01, 1.64364E-10, 1.63615E-12
 1.00995E+01, 7.06790E-04, 7.56168E-07
 2.00990E+01, 5.86331E-03, 4.31382E-06
 3.00985E+01, 2.22807E-02, 1.28428E-05
 4.00980E+01, 5.91956E-02, 3.06290E-05
 5.00975E+01, 1.22182E-01, 6.15457E-05
 6.00970E+01, 2.10853E-01, 1.05518E-04
 7.00965E+01, 3.21048E-01, 1.60127E-04
 8.00960E+01, 4.47363E-01, 2.22556E-04
 9.00955E+01, 5.84637E-01, 2.90324E-04
 1.00095E+02, 7.28579E-01, 3.61445E-04
 1.10095E+02, 8.75872E-01, 4.34398E-04
 1.20094E+02, 1.02408E+00, 5.08049E-04
 1.30094E+02, 1.17146E+00, 5.81571E-04
 1.40093E+02, 1.31682E+00, 6.54372E-04
 1.50093E+02, 1.45936E+00, 7.26041E-04
 1.60092E+02, 1.59859E+00, 7.96301E-04
 1.70092E+02, 1.73420E+00, 8.64973E-04
 1.80091E+02, 1.86603E+00, 9.31950E-04
 1.90091E+02, 1.99405E+00, 9.97179E-04
 2.00090E+02, 2.11825E+00, 1.06064E-03
 2.10090E+02, 2.23872E+00, 1.12235E-03
 2.20089E+02, 2.35555E+00, 1.18233E-03
 2.30089E+02, 2.46886E+00, 1.24062E-03
 2.40088E+02, 2.57877E+00, 1.29728E-03
 2.50088E+02, 2.68542E+00, 1.35235E-03
 2.60087E+02, 2.78895E+00, 1.40589E-03
 2.70087E+02, 2.88950E+00, 1.45797E-03
 2.80086E+02, 2.98719E+00, 1.50865E-03
 2.90086E+02, 3.08215E+00, 1.55796E-03
 3.00085E+02, 3.17452E+00, 1.60599E-03
 3.10085E+02, 3.26439E+00, 1.65277E-03
 3.20084E+02, 3.35190E+00, 1.69837E-03
 3.30084E+02, 3.43714E+00, 1.74282E-03
 3.40083E+02, 3.52022E+00, 1.78619E-03
 3.50083E+02, 3.60123E+00, 1.82851E-03
 3.60082E+02, 3.68026E+00, 1.86983E-03
 3.70082E+02, 3.75740E+00, 1.91018E-03
 3.80081E+02, 3.83273E+00, 1.94962E-03
 3.90081E+02, 3.90633E+00, 1.98818E-03
 4.00080E+02, 3.97826E+00, 2.02588E-03
 4.10080E+02, 4.04861E+00, 2.06278E-03
 4.20079E+02, 4.11742E+00, 2.09889E-03
 4.30079E+02, 4.18477E+00, 2.13424E-03
 4.40078E+02, 4.25071E+00, 2.16888E-03
 4.50078E+02, 4.31529E+00, 2.20282E-03
 4.60077E+02, 4.37857E+00, 2.23608E-03
 4.70077E+02, 4.44060E+00, 2.26870E-03
 4.80076E+02, 4.50142E+00, 2.30070E-03
 4.90076E+02, 4.56108E+00, 2.33210E-03
 5.00075E+02, 4.61961E+00, 2.36291E-03
 5.10075E+02, 4.67707E+00, 2.39317E-03
 5.20074E+02, 4.73348E+00, 2.42289E-03
 5.30074E+02, 4.78888E+00, 2.45208E-03
 5.40073E+02, 4.84330E+00, 2.48077E-03
 5.50073E+02, 4.89679E+00, 2.50897E-03
 5.60072E+02, 4.94937E+00, 2.53670E-03
 5.70072E+02, 5.00106E+00, 2.56397E-03
 5.80071E+02, 5.05190E+00, 2.59080E-03
 5.90071E+02, 5.10192E+00, 2.61720E-03
 6.00070E+02, 5.15114E+00, 2.64318E-03
 6.10070E+02, 5.19958E+00, 2.66876E-03
 6.20069E+02, 5.24727E+00, 2.69394E-03
 6.30069E+02, 5.29423E+00, 2.71875E-03
 6.40068E+02, 5.34048E+00, 2.74318E-03
 6.50068E+02, 5.38604E+00, 2.76726E-03
 6.60067E+02, 5.43094E+00, 2.79099E-03
 6.70067E+02, 5.47519E+00, 2.81438E-03
 6.80066E+02, 5.51880E+00, 2.83743E-03
 6.90066E+02, 5.56181E+00, 2.86017E-03
 7.00065E+02, 5.60421E+00, 2.88260E-03
 7.10065E+02, 5.64604E+00, 2.90472E-03
 7.20064E+02, 5.68730E+00, 2.92655E-03
 7.30064E+02, 5.72801E+00, 2.94808E-03
 7.40063E+02, 5.76818E+00, 2.96934E-03
 7.50063E+02, 5.80783E+00, 2.99032E-03
 7.60062E+02, 5.84697E+00, 3.01104E-03
 7.70062E+02, 5.88562E+00, 3.03149E-03
 7.80061E+02, 5.92378E+00, 3.05170E-03
 7.90061E+02, 5.96146E+00, 3.07165E-03
 8.00060E+02, 5.99869E+00, 3.09136E-03
 8.10060E+02, 6.03547E+00, 3.11084E-03
 8.20059E+02, 6.07180E+00, 3.13008E-03
 8.30059E+02, 6.10771E+00, 3.14910E-03
 8.40058E+02, 6.14320E+00, 3.16790E-03
 8.50058E+02, 6.17828E+00, 3.18648E-03
 8.60057E+02, 6.21295E+00, 3.20485E-03
 8.70057E+02, 6.24724E+00, 3.22302E-03
 8.80056E+02, 6.28114E+00, 3.24099E-03
 8.90056E+02, 6.31467E+00, 3.25875E-03
 9.00055E+02, 6.34783E+00, 3.27633E-03
 9.10055E+02, 6.38063E+00, 3.29372E-03
 9.20054E+02, 6.41308E+00, 3.31092E-03
 9.30054E+02, 6.44519E+00, 3.32794E-03
 9.40053E+02, 6.47696E+00, 3.34478E-03
 9.50053E+02, 6.50840E+00, 3.36145E-03
 9.60052E+02, 6.53952E+00, 3.37795E-03
 9.70052E+02, 6.57032E+00, 3.39429E-03
 9.80051E+02, 6.60082E+00, 3.41046E-03
 9.90051E+02, 6.63100E+00, 3.42647E-03
 1.00005E+03, 6.66089E+00, 3.44232E-03
 1.01005E+03, 6.69049E+00, 3.45802E-03
 1.02005E+03, 6.71980E+00, 3.47357E-03
 1.03005E+03, 6.74883E+00, 3.48897E-03
 1.04005E+03, 6.77758E+00, 3.50422E-03
 1.05005E+03, 6.80606E+00, 3.51933E-03
 1.06005E+03, 6.83428E+00, 3.53430E-03
 1.07005E+03, 6.86224E+00, 3.54914E-03
 1.08005E+03, 6.88993E+00, 3.56383E-03
 1.09005E+03, 6.91738E+00, 3.57840E-03
 1.10005E+03, 6.94458E+00, 3.59283E-03
 1.11004E+03, 6.97154E+00, 3.60714E-03
 1.12004E+03, 6.99826E+00, 3.62132E-03
 1.13004E+03, 7.02475E+00, 3.63538E-03
 1.14004E+03, 7.05100E+00, 3.64932E-03
 1.15004E+03, 7.07703E+00, 3.66313E-03
 1.16004E+03, 7.10284E+00, 3.67683E-03
 1.17004E+03, 7.12842E+00, 3.69042E-03
 1.18004E+03, 7.15380E+00, 3.70389E-03
 1.19004E+03, 7.17896E+00, 3.71724E-03
 1.20004E+03, 7.20391E+00, 3.73049E-03
 1.21004E+03, 7.22866E+00, 3.74363E-03
 1.22004E+03, 7.25321E+00, 3.75667E-03
 1.23004E+03, 7.27755E+00, 3.76960E-03
 1.24004E+03, 7.30171E+00, 3.78242E-03
 1.25004E+03, 7.32567E+00, 3.79515E-03
 1.26004E+03, 7.34944E+00, 3.80777E-03
 1.27004E+03, 7.37303E+00, 3.82030E-03
 1.28004E+03, 7.39644E+00, 3.83273E-03
 1.29004E+03, 7.41966E+00, 3.84506E-03
 1.30004E+03, 7.44271E+00, 3.85730E-03
 1.31003E+03, 7.46558E+00, 3.86945E-03
 1.32003E+03, 7.48828E+00, 3.88151E-03
 1.33003E+03, 7.51081E+00, 3.89348E-03
 1.34003E+03, 7.53317E+00, 3.90536E-03
 1.35003E+03, 7.55537E+00, 3.91715E-03
 1.36003E+03, 7.57741E+00, 3.92886E-03
 1.37003E+03, 7.59928E+00, 3.94048E-03
 1.38003E+03, 7.62100E+00, 3.95202E-03
 1.39003E+03, 7.64256E+00, 3.96347E-03
 1.40003E+03, 7.66397E+00, 3.97485E-03
 1.41003E+03, 7.68523E+00, 3.98614E-03
 1.42003E+03, 7.70634E+00, 3.99736E-03
 1.43003E+03, 7.72730E+00, 4.00850E-03
 1.44003E+03, 7.74812E+00, 4.01956E-03
 1.45003E+03, 7.76880E+00, 4.03055E-03
 1.46003E+03, 7.78933E+00, 4.04146E-03
 1.47003E+03, 7.80973E+00, 4.05230E-03
 1.48003E+03, 7.82998E+00, 4.06306E-03
 1.49003E+03, 7.85011E+00, 4.07376E-03
 1.50003E+03, 7.87010E+00, 4.08438E-03
 1.51002E+03, 7.88995E+00, 4.09493E-03
 1.52002E+03, 7.90968E+00, 4.10542E-03
 1.53002E+03, 7.92928E+00, 4.11584E-03
 1.54002E+03, 7.94875E+00, 4.12619E-03
 1.55002E+03, 7.96810E+00, 4.13647E-03
 1.56002E+03, 7.98732E+00, 4.14669E-03
 1.57002E+03, 8.00642E+00, 4.15684E-03
 1.58002E+03, 8.02540E+00, 4.16693E-03
 1.59002E+03, 8.04427E+00, 4.17696E-03
 1.60002E+03, 8.06301E+00, 4.18692E-03
 1.61002E+03, 8.08164E+00, 4.19682E-03
 1.62002E+03, 8.10015E+00, 4.20667E-03
 1.63002E+03, 8.11855E+00, 4.21645E-03
 1.64002E+03, 8.13684E+00, 4.22617E-03
 1.65002E+03, 8.15502E+00, 4.23583E-03
 1.66002E+03, 8.17309E+00, 4.24544E-03
 1.67002E+03, 8.19105E+00, 4.25499E-03
 1.68002E+03, 8.20891E+00, 4.26448E-03
 1.69002E+03, 8.22666E+00, 4.27392E-03
 1.70002E+03, 8.24430E+00, 4.28330E-03
 1.71001E+03, 8.26185E+00, 4.29263E-03
 1.72001E+03, 8.27929E+00, 4.30190E-03
 1.73001E+03, 8.29663E+00, 4.31112E-03
 1.74001E+03, 8.31387E+00, 4.32029E-03
 1.75001E+03, 8.33101E+00, 4.32941E-03
 1.76001E+03, 8.34806E+00, 4.33847E-03
 1.77001E+03, 8.36501E+00, 4.34748E-03
 1.78001E+03, 8.38186E+00, 4.35645E-03
 1.79001E+03, 8.39862E+00, 4.36536E-03
 1.80001E+03, 8.41529E+00, 4.37422E-03
 1.81001E+03, 8.43187E+00, 4.38304E-03
 1.82001E+03, 8.44835E+00, 4.39181E-03
 1.83001E+03, 8.46475E+00, 4.40053E-03
 1.84001E+03, 8.48105E+00, 4.40920E-03
 1.85001E+03, 8.49727E+00, 4.41782E-03
 1.86001E+03, 8.51340E+00, 4.42640E-03
 1.87001E+03, 8.52945E+00, 4.43494E-03
 1.88001E+03, 8.54541E+00, 4.44343E-03
 1.89001E+03, 8.56129E+00, 4.45187E-03
 1.90001E+03, 8.57708E+00, 4.46027E-03
 1.91000E+03, 8.59279E+00, 4.46863E-03
 1.92000E+03, 8.60842E+00, 4.47694E-03
 1.93000E+03, 8.62396E+00, 4.48521E-03
 1.94000E+03, 8.63943E+00, 4.49344E-03
 1.95000E+03, 8.65482E+00, 4.50162E-03
 1.96000E+03, 8.67013E+00, 4.50976E-03
 1.97000E+03, 8.68536E+00, 4.51787E-03
 1.98000E+03, 8.70052E+00, 4.52593E-03
 1.99000E+03, 8.71560E+00, 4.53395E-03
 2.00000E+03, 8.73060E+00, 4.54193E-03
