PHOENIX module psth; 10/31/16 at 12:16:51 -07:00
temperature (K),Lamb-Moessbauer factor,error of Lamb-Moessbauer factor
 1.00000E-01, 9.21881E-01, 3.68650E-05
 1.00995E+01, 9.21697E-01, 3.68618E-05
 2.00990E+01, 9.21146E-01, 3.68695E-05
 3.00985E+01, 9.20196E-01, 3.69284E-05
 4.00980E+01, 9.18779E-01, 3.71110E-05
 5.00975E+01, 9.16840E-01, 3.74910E-05
 6.00970E+01, 9.14367E-01, 3.81078E-05
 7.00965E+01, 9.11391E-01, 3.89658E-05
 8.00960E+01, 9.07967E-01, 4.00470E-05
 9.00955E+01, 9.04154E-01, 4.13232E-05
 1.00095E+02, 9.00014E-01, 4.27635E-05
 1.10095E+02, 8.95600E-01, 4.43383E-05
 1.20094E+02, 8.90960E-01, 4.60212E-05
 1.30094E+02, 8.86135E-01, 4.77896E-05
 1.40093E+02, 8.81158E-01, 4.96242E-05
 1.50093E+02, 8.76058E-01, 5.15094E-05
 1.60092E+02, 8.70858E-01, 5.34319E-05
 1.70092E+02, 8.65578E-01, 5.53812E-05
 1.80091E+02, 8.60235E-01, 5.73482E-05
 1.90091E+02, 8.54842E-01, 5.93257E-05
 2.00090E+02, 8.49411E-01, 6.13077E-05
 2.10090E+02, 8.43952E-01, 6.32891E-05
 2.20089E+02, 8.38473E-01, 6.52658E-05
 2.30089E+02, 8.32982E-01, 6.72345E-05
 2.40088E+02, 8.27483E-01, 6.91920E-05
 2.50088E+02, 8.21983E-01, 7.11362E-05
 2.60087E+02, 8.16486E-01, 7.30649E-05
 2.70087E+02, 8.10995E-01, 7.49765E-05
 2.80086E+02, 8.05515E-01, 7.68696E-05
 2.90086E+02, 8.00047E-01, 7.87429E-05
 3.00085E+02, 7.94594E-01, 8.05954E-05
 3.10085E+02, 7.89158E-01, 8.24264E-05
 3.20084E+02, 7.83742E-01, 8.42352E-05
 3.30084E+02, 7.78347E-01, 8.60212E-05
 3.40083E+02, 7.72974E-01, 8.77838E-05
 3.50083E+02, 7.67625E-01, 8.95228E-05
 3.60082E+02, 7.62300E-01, 9.12379E-05
 3.70082E+02, 7.57001E-01, 9.29288E-05
 3.80081E+02, 7.51728E-01, 9.45952E-05
 3.90081E+02, 7.46482E-01, 9.62372E-05
 4.00080E+02, 7.41264E-01, 9.78546E-05
 4.10080E+02, 7.36075E-01, 9.94473E-05
 4.20079E+02, 7.30914E-01, 1.01015E-04
 4.30079E+02, 7.25782E-01, 1.02559E-04
 4.40078E+02, 7.20680E-01, 1.04078E-04
 4.50078E+02, 7.15608E-01, 1.05572E-04
 4.60077E+02, 7.10566E-01, 1.07042E-04
 4.70077E+02, 7.05554E-01, 1.08487E-04
 4.80076E+02, 7.00572E-01, 1.09908E-04
 4.90076E+02, 6.95622E-01, 1.11305E-04
 5.00075E+02, 6.90701E-01, 1.12678E-04
 5.10075E+02, 6.85812E-01, 1.14028E-04
 5.20074E+02, 6.80954E-01, 1.15353E-04
 5.30074E+02, 6.76126E-01, 1.16655E-04
 5.40073E+02, 6.71330E-01, 1.17934E-04
 5.50073E+02, 6.66564E-01, 1.19189E-04
 5.60072E+02, 6.61830E-01, 1.20422E-04
 5.70072E+02, 6.57126E-01, 1.21632E-04
 5.80071E+02, 6.52453E-01, 1.22819E-04
 5.90071E+02, 6.47811E-01, 1.23984E-04
 6.00070E+02, 6.43199E-01, 1.25126E-04
 6.10070E+02, 6.38619E-01, 1.26247E-04
 6.20069E+02, 6.34068E-01, 1.27345E-04
 6.30069E+02, 6.29549E-01, 1.28423E-04
 6.40068E+02, 6.25059E-01, 1.29478E-04
 6.50068E+02, 6.20600E-01, 1.30513E-04
 6.60067E+02, 6.16171E-01, 1.31527E-04
 6.70067E+02, 6.11772E-01, 1.32520E-04
 6.80066E+02, 6.07403E-01, 1.33492E-04
 6.90066E+02, 6.03064E-01, 1.34444E-04
 7.00065E+02, 5.98755E-01, 1.35376E-04
 7.10065E+02, 5.94475E-01, 1.36288E-04
 7.20064E+02, 5.90224E-01, 1.37180E-04
 7.30064E+02, 5.86003E-01, 1.38053E-04
 7.40063E+02, 5.81810E-01, 1.38907E-04
 7.50063E+02, 5.77647E-01, 1.39741E-04
 7.60062E+02, 5.73512E-01, 1.40557E-04
 7.70062E+02, 5.69406E-01, 1.41354E-04
 7.80061E+02, 5.65329E-01, 1.42132E-04
 7.90061E+02, 5.61279E-01, 1.42893E-04
 8.00060E+02, 5.57258E-01, 1.43635E-04
 8.10060E+02, 5.53265E-01, 1.44360E-04
 8.20059E+02, 5.49300E-01, 1.45067E-04
 8.30059E+02, 5.45363E-01, 1.45756E-04
 8.40058E+02, 5.41453E-01, 1.46428E-04
 8.50058E+02, 5.37570E-01, 1.47083E-04
 8.60057E+02, 5.33715E-01, 1.47722E-04
 8.70057E+02, 5.29886E-01, 1.48344E-04
 8.80056E+02, 5.26085E-01, 1.48949E-04
 8.90056E+02, 5.22310E-01, 1.49538E-04
 9.00055E+02, 5.18561E-01, 1.50111E-04
 9.10055E+02, 5.14839E-01, 1.50669E-04
 9.20054E+02, 5.11144E-01, 1.51210E-04
 9.30054E+02, 5.07474E-01, 1.51736E-04
 9.40053E+02, 5.03830E-01, 1.52247E-04
 9.50053E+02, 5.00212E-01, 1.52743E-04
 9.60052E+02, 4.96620E-01, 1.53224E-04
 9.70052E+02, 4.93052E-01, 1.53690E-04
 9.80051E+02, 4.89510E-01, 1.54142E-04
 9.90051E+02, 4.85994E-01, 1.54579E-04
 1.00005E+03, 4.82502E-01, 1.55002E-04
 1.01005E+03, 4.79034E-01, 1.55411E-04
 1.02005E+03, 4.75592E-01, 1.55806E-04
 1.03005E+03, 4.72173E-01, 1.56187E-04
 1.04005E+03, 4.68779E-01, 1.56555E-04
 1.05005E+03, 4.65409E-01, 1.56910E-04
 1.06005E+03, 4.62063E-01, 1.57251E-04
 1.07005E+03, 4.58741E-01, 1.57580E-04
 1.08005E+03, 4.55442E-01, 1.57896E-04
 1.09005E+03, 4.52167E-01, 1.58199E-04
 1.10005E+03, 4.48915E-01, 1.58489E-04
 1.11004E+03, 4.45686E-01, 1.58767E-04
 1.12004E+03, 4.42481E-01, 1.59033E-04
 1.13004E+03, 4.39298E-01, 1.59287E-04
 1.14004E+03, 4.36137E-01, 1.59529E-04
 1.15004E+03, 4.33000E-01, 1.59760E-04
 1.16004E+03, 4.29884E-01, 1.59979E-04
 1.17004E+03, 4.26791E-01, 1.60186E-04
 1.18004E+03, 4.23720E-01, 1.60382E-04
 1.19004E+03, 4.20671E-01, 1.60567E-04
 1.20004E+03, 4.17643E-01, 1.60742E-04
 1.21004E+03, 4.14637E-01, 1.60905E-04
 1.22004E+03, 4.11653E-01, 1.61057E-04
 1.23004E+03, 4.08690E-01, 1.61200E-04
 1.24004E+03, 4.05748E-01, 1.61331E-04
 1.25004E+03, 4.02827E-01, 1.61453E-04
 1.26004E+03, 3.99927E-01, 1.61564E-04
 1.27004E+03, 3.97047E-01, 1.61666E-04
 1.28004E+03, 3.94189E-01, 1.61757E-04
 1.29004E+03, 3.91350E-01, 1.61839E-04
 1.30004E+03, 3.88532E-01, 1.61911E-04
 1.31003E+03, 3.85735E-01, 1.61974E-04
 1.32003E+03, 3.82957E-01, 1.62028E-04
 1.33003E+03, 3.80199E-01, 1.62072E-04
 1.34003E+03, 3.77461E-01, 1.62108E-04
 1.35003E+03, 3.74742E-01, 1.62134E-04
 1.36003E+03, 3.72043E-01, 1.62152E-04
 1.37003E+03, 3.69363E-01, 1.62161E-04
 1.38003E+03, 3.66703E-01, 1.62161E-04
 1.39003E+03, 3.64061E-01, 1.62153E-04
 1.40003E+03, 3.61438E-01, 1.62137E-04
 1.41003E+03, 3.58835E-01, 1.62113E-04
 1.42003E+03, 3.56249E-01, 1.62080E-04
 1.43003E+03, 3.53683E-01, 1.62040E-04
 1.44003E+03, 3.51135E-01, 1.61992E-04
 1.45003E+03, 3.48605E-01, 1.61936E-04
 1.46003E+03, 3.46093E-01, 1.61872E-04
 1.47003E+03, 3.43599E-01, 1.61801E-04
 1.48003E+03, 3.41123E-01, 1.61722E-04
 1.49003E+03, 3.38665E-01, 1.61637E-04
 1.50003E+03, 3.36225E-01, 1.61544E-04
 1.51002E+03, 3.33802E-01, 1.61444E-04
 1.52002E+03, 3.31396E-01, 1.61337E-04
 1.53002E+03, 3.29008E-01, 1.61223E-04
 1.54002E+03, 3.26636E-01, 1.61103E-04
 1.55002E+03, 3.24282E-01, 1.60975E-04
 1.56002E+03, 3.21945E-01, 1.60842E-04
 1.57002E+03, 3.19625E-01, 1.60702E-04
 1.58002E+03, 3.17321E-01, 1.60555E-04
 1.59002E+03, 3.15033E-01, 1.60402E-04
 1.60002E+03, 3.12763E-01, 1.60244E-04
 1.61002E+03, 3.10508E-01, 1.60079E-04
 1.62002E+03, 3.08270E-01, 1.59908E-04
 1.63002E+03, 3.06047E-01, 1.59731E-04
 1.64002E+03, 3.03841E-01, 1.59549E-04
 1.65002E+03, 3.01651E-01, 1.59361E-04
 1.66002E+03, 2.99476E-01, 1.59167E-04
 1.67002E+03, 2.97317E-01, 1.58968E-04
 1.68002E+03, 2.95173E-01, 1.58763E-04
 1.69002E+03, 2.93045E-01, 1.58553E-04
 1.70002E+03, 2.90932E-01, 1.58338E-04
 1.71001E+03, 2.88835E-01, 1.58117E-04
 1.72001E+03, 2.86752E-01, 1.57892E-04
 1.73001E+03, 2.84685E-01, 1.57662E-04
 1.74001E+03, 2.82632E-01, 1.57426E-04
 1.75001E+03, 2.80594E-01, 1.57186E-04
 1.76001E+03, 2.78571E-01, 1.56942E-04
 1.77001E+03, 2.76562E-01, 1.56692E-04
 1.78001E+03, 2.74567E-01, 1.56438E-04
 1.79001E+03, 2.72587E-01, 1.56180E-04
 1.80001E+03, 2.70622E-01, 1.55917E-04
 1.81001E+03, 2.68670E-01, 1.55649E-04
 1.82001E+03, 2.66733E-01, 1.55378E-04
 1.83001E+03, 2.64809E-01, 1.55102E-04
 1.84001E+03, 2.62899E-01, 1.54823E-04
 1.85001E+03, 2.61003E-01, 1.54539E-04
 1.86001E+03, 2.59121E-01, 1.54251E-04
 1.87001E+03, 2.57252E-01, 1.53959E-04
 1.88001E+03, 2.55397E-01, 1.53664E-04
 1.89001E+03, 2.53555E-01, 1.53364E-04
 1.90001E+03, 2.51726E-01, 1.53061E-04
 1.91000E+03, 2.49910E-01, 1.52755E-04
 1.92000E+03, 2.48108E-01, 1.52445E-04
 1.93000E+03, 2.46318E-01, 1.52131E-04
 1.94000E+03, 2.44541E-01, 1.51814E-04
 1.95000E+03, 2.42777E-01, 1.51494E-04
 1.96000E+03, 2.41026E-01, 1.51170E-04
 1.97000E+03, 2.39288E-01, 1.50844E-04
 1.98000E+03, 2.37562E-01, 1.50514E-04
 1.99000E+03, 2.35848E-01, 1.50180E-04
 2.00000E+03, 2.34147E-01, 1.49844E-04
