PHOENIX module psth; 10/31/16 at 12:16:51 -07:00
temperature (K),vibrational free energy (meV/atom),error of vibrational free energy (meV/atom)
 1.00000E-01, 4.00119E+01, 2.33826E-02
 1.00995E+01, 4.00118E+01, 2.33826E-02
 2.00990E+01, 4.00094E+01, 2.33826E-02
 3.00985E+01, 3.99985E+01, 2.33821E-02
 4.00980E+01, 3.99651E+01, 2.33784E-02
 5.00975E+01, 3.98889E+01, 2.33648E-02
 6.00970E+01, 3.97471E+01, 2.33319E-02
 7.00965E+01, 3.95193E+01, 2.32700E-02
 8.00960E+01, 3.91892E+01, 2.31702E-02
 9.00955E+01, 3.87452E+01, 2.30258E-02
 1.00095E+02, 3.81797E+01, 2.28321E-02
 1.10095E+02, 3.74886E+01, 2.25862E-02
 1.20094E+02, 3.66700E+01, 2.22868E-02
 1.30094E+02, 3.57240E+01, 2.19339E-02
 1.40093E+02, 3.46518E+01, 2.15284E-02
 1.50093E+02, 3.34554E+01, 2.10721E-02
 1.60092E+02, 3.21377E+01, 2.05675E-02
 1.70092E+02, 3.07015E+01, 2.00175E-02
 1.80091E+02, 2.91501E+01, 1.94259E-02
 1.90091E+02, 2.74867E+01, 1.87969E-02
 2.00090E+02, 2.57147E+01, 1.81356E-02
 2.10090E+02, 2.38372E+01, 1.74478E-02
 2.20089E+02, 2.18575E+01, 1.67405E-02
 2.30089E+02, 1.97787E+01, 1.60216E-02
 2.40088E+02, 1.76037E+01, 1.53011E-02
 2.50088E+02, 1.53354E+01, 1.45908E-02
 2.60087E+02, 1.29766E+01, 1.39048E-02
 2.70087E+02, 1.05299E+01, 1.32602E-02
 2.80086E+02, 7.99771E+00, 1.26772E-02
 2.90086E+02, 5.38257E+00, 1.21792E-02
 3.00085E+02, 2.68673E+00, 1.17918E-02
 3.10085E+02,-8.76198E-02, 1.15411E-02
 3.20084E+02,-2.93839E+00, 1.14513E-02
 3.30084E+02,-5.86357E+00, 1.15412E-02
 3.40083E+02,-8.86127E+00, 1.18209E-02
 3.50083E+02,-1.19297E+01, 1.22914E-02
 3.60082E+02,-1.50670E+01, 1.29448E-02
 3.70082E+02,-1.82716E+01, 1.37672E-02
 3.80081E+02,-2.15419E+01, 1.47415E-02
 3.90081E+02,-2.48764E+01, 1.58501E-02
 4.00080E+02,-2.82735E+01, 1.70763E-02
 4.10080E+02,-3.17320E+01, 1.84053E-02
 4.20079E+02,-3.52504E+01, 1.98246E-02
 4.30079E+02,-3.88275E+01, 2.13235E-02
 4.40078E+02,-4.24620E+01, 2.28932E-02
 4.50078E+02,-4.61527E+01, 2.45265E-02
 4.60077E+02,-4.98985E+01, 2.62173E-02
 4.70077E+02,-5.36983E+01, 2.79607E-02
 4.80076E+02,-5.75510E+01, 2.97524E-02
 4.90076E+02,-6.14556E+01, 3.15890E-02
 5.00075E+02,-6.54111E+01, 3.34675E-02
 5.10075E+02,-6.94166E+01, 3.53854E-02
 5.20074E+02,-7.34712E+01, 3.73406E-02
 5.30074E+02,-7.75739E+01, 3.93310E-02
 5.40073E+02,-8.17240E+01, 4.13551E-02
 5.50073E+02,-8.59205E+01, 4.34115E-02
 5.60072E+02,-9.01628E+01, 4.54988E-02
 5.70072E+02,-9.44499E+01, 4.76159E-02
 5.80071E+02,-9.87813E+01, 4.97618E-02
 5.90071E+02,-1.03156E+02, 5.19355E-02
 6.00070E+02,-1.07574E+02, 5.41362E-02
 6.10070E+02,-1.12033E+02, 5.63630E-02
 6.20069E+02,-1.16534E+02, 5.86154E-02
 6.30069E+02,-1.21076E+02, 6.08926E-02
 6.40068E+02,-1.25658E+02, 6.31940E-02
 6.50068E+02,-1.30280E+02, 6.55191E-02
 6.60067E+02,-1.34940E+02, 6.78672E-02
 6.70067E+02,-1.39639E+02, 7.02380E-02
 6.80066E+02,-1.44376E+02, 7.26309E-02
 6.90066E+02,-1.49150E+02, 7.50456E-02
 7.00065E+02,-1.53961E+02, 7.74815E-02
 7.10065E+02,-1.58808E+02, 7.99383E-02
 7.20064E+02,-1.63691E+02, 8.24156E-02
 7.30064E+02,-1.68609E+02, 8.49130E-02
 7.40063E+02,-1.73562E+02, 8.74303E-02
 7.50063E+02,-1.78550E+02, 8.99670E-02
 7.60062E+02,-1.83571E+02, 9.25229E-02
 7.70062E+02,-1.88626E+02, 9.50976E-02
 7.80061E+02,-1.93714E+02, 9.76909E-02
 7.90061E+02,-1.98835E+02, 1.00303E-01
 8.00060E+02,-2.03988E+02, 1.02932E-01
 8.10060E+02,-2.09173E+02, 1.05579E-01
 8.20059E+02,-2.14389E+02, 1.08244E-01
 8.30059E+02,-2.19637E+02, 1.10927E-01
 8.40058E+02,-2.24915E+02, 1.13626E-01
 8.50058E+02,-2.30224E+02, 1.16342E-01
 8.60057E+02,-2.35562E+02, 1.19074E-01
 8.70057E+02,-2.40931E+02, 1.21823E-01
 8.80056E+02,-2.46329E+02, 1.24588E-01
 8.90056E+02,-2.51756E+02, 1.27369E-01
 9.00055E+02,-2.57211E+02, 1.30166E-01
 9.10055E+02,-2.62695E+02, 1.32978E-01
 9.20054E+02,-2.68207E+02, 1.35806E-01
 9.30054E+02,-2.73747E+02, 1.38649E-01
 9.40053E+02,-2.79315E+02, 1.41507E-01
 9.50053E+02,-2.84909E+02, 1.44380E-01
 9.60052E+02,-2.90531E+02, 1.47268E-01
 9.70052E+02,-2.96179E+02, 1.50170E-01
 9.80051E+02,-3.01854E+02, 1.53086E-01
 9.90051E+02,-3.07555E+02, 1.56017E-01
 1.00005E+03,-3.13282E+02, 1.58962E-01
 1.01005E+03,-3.19034E+02, 1.61921E-01
 1.02005E+03,-3.24812E+02, 1.64893E-01
 1.03005E+03,-3.30615E+02, 1.67879E-01
 1.04005E+03,-3.36443E+02, 1.70879E-01
 1.05005E+03,-3.42295E+02, 1.73892E-01
 1.06005E+03,-3.48172E+02, 1.76918E-01
 1.07005E+03,-3.54073E+02, 1.79958E-01
 1.08005E+03,-3.59998E+02, 1.83010E-01
 1.09005E+03,-3.65947E+02, 1.86075E-01
 1.10005E+03,-3.71920E+02, 1.89153E-01
 1.11004E+03,-3.77915E+02, 1.92243E-01
 1.12004E+03,-3.83934E+02, 1.95346E-01
 1.13004E+03,-3.89976E+02, 1.98462E-01
 1.14004E+03,-3.96040E+02, 2.01589E-01
 1.15004E+03,-4.02127E+02, 2.04729E-01
 1.16004E+03,-4.08237E+02, 2.07881E-01
 1.17004E+03,-4.14368E+02, 2.11045E-01
 1.18004E+03,-4.20522E+02, 2.14220E-01
 1.19004E+03,-4.26697E+02, 2.17408E-01
 1.20004E+03,-4.32894E+02, 2.20607E-01
 1.21004E+03,-4.39112E+02, 2.23817E-01
 1.22004E+03,-4.45351E+02, 2.27039E-01
 1.23004E+03,-4.51612E+02, 2.30272E-01
 1.24004E+03,-4.57893E+02, 2.33517E-01
 1.25004E+03,-4.64196E+02, 2.36773E-01
 1.26004E+03,-4.70518E+02, 2.40039E-01
 1.27004E+03,-4.76861E+02, 2.43317E-01
 1.28004E+03,-4.83225E+02, 2.46606E-01
 1.29004E+03,-4.89608E+02, 2.49905E-01
 1.30004E+03,-4.96012E+02, 2.53215E-01
 1.31003E+03,-5.02435E+02, 2.56536E-01
 1.32003E+03,-5.08878E+02, 2.59867E-01
 1.33003E+03,-5.15340E+02, 2.63209E-01
 1.34003E+03,-5.21822E+02, 2.66561E-01
 1.35003E+03,-5.28322E+02, 2.69924E-01
 1.36003E+03,-5.34842E+02, 2.73296E-01
 1.37003E+03,-5.41381E+02, 2.76679E-01
 1.38003E+03,-5.47939E+02, 2.80072E-01
 1.39003E+03,-5.54515E+02, 2.83475E-01
 1.40003E+03,-5.61110E+02, 2.86888E-01
 1.41003E+03,-5.67723E+02, 2.90311E-01
 1.42003E+03,-5.74354E+02, 2.93743E-01
 1.43003E+03,-5.81004E+02, 2.97185E-01
 1.44003E+03,-5.87671E+02, 3.00637E-01
 1.45003E+03,-5.94357E+02, 3.04099E-01
 1.46003E+03,-6.01060E+02, 3.07570E-01
 1.47003E+03,-6.07781E+02, 3.11050E-01
 1.48003E+03,-6.14519E+02, 3.14540E-01
 1.49003E+03,-6.21275E+02, 3.18039E-01
 1.50003E+03,-6.28048E+02, 3.21547E-01
 1.51002E+03,-6.34838E+02, 3.25065E-01
 1.52002E+03,-6.41645E+02, 3.28592E-01
 1.53002E+03,-6.48469E+02, 3.32128E-01
 1.54002E+03,-6.55310E+02, 3.35672E-01
 1.55002E+03,-6.62168E+02, 3.39226E-01
 1.56002E+03,-6.69042E+02, 3.42789E-01
 1.57002E+03,-6.75933E+02, 3.46360E-01
 1.58002E+03,-6.82840E+02, 3.49941E-01
 1.59002E+03,-6.89764E+02, 3.53530E-01
 1.60002E+03,-6.96704E+02, 3.57127E-01
 1.61002E+03,-7.03660E+02, 3.60734E-01
 1.62002E+03,-7.10631E+02, 3.64349E-01
 1.63002E+03,-7.17619E+02, 3.67972E-01
 1.64002E+03,-7.24623E+02, 3.71604E-01
 1.65002E+03,-7.31642E+02, 3.75244E-01
 1.66002E+03,-7.38677E+02, 3.78893E-01
 1.67002E+03,-7.45727E+02, 3.82550E-01
 1.68002E+03,-7.52793E+02, 3.86215E-01
 1.69002E+03,-7.59874E+02, 3.89889E-01
 1.70002E+03,-7.66971E+02, 3.93570E-01
 1.71001E+03,-7.74082E+02, 3.97260E-01
 1.72001E+03,-7.81209E+02, 4.00958E-01
 1.73001E+03,-7.88351E+02, 4.04663E-01
 1.74001E+03,-7.95507E+02, 4.08377E-01
 1.75001E+03,-8.02679E+02, 4.12099E-01
 1.76001E+03,-8.09865E+02, 4.15828E-01
 1.77001E+03,-8.17066E+02, 4.19566E-01
 1.78001E+03,-8.24281E+02, 4.23311E-01
 1.79001E+03,-8.31511E+02, 4.27064E-01
 1.80001E+03,-8.38755E+02, 4.30824E-01
 1.81001E+03,-8.46013E+02, 4.34593E-01
 1.82001E+03,-8.53286E+02, 4.38368E-01
 1.83001E+03,-8.60573E+02, 4.42152E-01
 1.84001E+03,-8.67874E+02, 4.45943E-01
 1.85001E+03,-8.75189E+02, 4.49741E-01
 1.86001E+03,-8.82518E+02, 4.53547E-01
 1.87001E+03,-8.89861E+02, 4.57361E-01
 1.88001E+03,-8.97218E+02, 4.61181E-01
 1.89001E+03,-9.04588E+02, 4.65009E-01
 1.90001E+03,-9.11972E+02, 4.68845E-01
 1.91000E+03,-9.19370E+02, 4.72687E-01
 1.92000E+03,-9.26781E+02, 4.76537E-01
 1.93000E+03,-9.34205E+02, 4.80394E-01
 1.94000E+03,-9.41643E+02, 4.84258E-01
 1.95000E+03,-9.49094E+02, 4.88129E-01
 1.96000E+03,-9.56559E+02, 4.92008E-01
 1.97000E+03,-9.64036E+02, 4.95893E-01
 1.98000E+03,-9.71527E+02, 4.99785E-01
 1.99000E+03,-9.79030E+02, 5.03685E-01
 2.00000E+03,-9.86547E+02, 5.07591E-01
