PHOENIX module psth; 10/31/16 at 12:16:51 -07:00
temperature (K),isotopic fractionation (perMille/%),error of isotopic fractionation (perMille/%)
 1.00000E-01, 1.28241E+07, 8.26729E+03
 1.00995E+01, 1.25726E+03, 8.10519E-01
 2.00990E+01, 3.17451E+02, 2.04651E-01
 3.00985E+01, 1.41559E+02, 9.12585E-02
 4.00980E+01, 7.97592E+01, 5.14183E-02
 5.00975E+01, 5.10969E+01, 3.29406E-02
 6.00970E+01, 3.55075E+01, 2.28906E-02
 7.00965E+01, 2.60996E+01, 1.68256E-02
 8.00960E+01, 1.99896E+01, 1.28867E-02
 9.00955E+01, 1.57987E+01, 1.01849E-02
 1.00095E+02, 1.27997E+01, 8.25160E-03
 1.10095E+02, 1.05802E+01, 6.82075E-03
 1.20094E+02, 8.89168E+00, 5.73219E-03
 1.30094E+02, 7.57731E+00, 4.88486E-03
 1.40093E+02, 6.53421E+00, 4.21241E-03
 1.50093E+02, 5.69257E+00, 3.66982E-03
 1.60092E+02, 5.00365E+00, 3.22570E-03
 1.70092E+02, 4.43263E+00, 2.85758E-03
 1.80091E+02, 3.95405E+00, 2.54905E-03
 1.90091E+02, 3.54900E+00, 2.28793E-03
 2.00090E+02, 3.20314E+00, 2.06496E-03
 2.10090E+02, 2.90548E+00, 1.87307E-03
 2.20089E+02, 2.64746E+00, 1.70674E-03
 2.30089E+02, 2.42235E+00, 1.56161E-03
 2.40088E+02, 2.22477E+00, 1.43424E-03
 2.50088E+02, 2.05042E+00, 1.32184E-03
 2.60087E+02, 1.89578E+00, 1.22215E-03
 2.70087E+02, 1.75801E+00, 1.13333E-03
 2.80086E+02, 1.63472E+00, 1.05385E-03
 2.90086E+02, 1.52396E+00, 9.82451E-04
 3.00085E+02, 1.42409E+00, 9.18067E-04
 3.10085E+02, 1.33372E+00, 8.59811E-04
 3.20084E+02, 1.25169E+00, 8.06929E-04
 3.30084E+02, 1.17701E+00, 7.58779E-04
 3.40083E+02, 1.10881E+00, 7.14814E-04
 3.50083E+02, 1.04637E+00, 6.74563E-04
 3.60082E+02, 9.89062E-01, 6.37618E-04
 3.70082E+02, 9.36336E-01, 6.03627E-04
 3.80081E+02, 8.87716E-01, 5.72283E-04
 3.90081E+02, 8.42787E-01, 5.43319E-04
 4.00080E+02, 8.01185E-01, 5.16499E-04
 4.10080E+02, 7.62588E-01, 4.91617E-04
 4.20079E+02, 7.26715E-01, 4.68491E-04
 4.30079E+02, 6.93315E-01, 4.46959E-04
 4.40078E+02, 6.62166E-01, 4.26878E-04
 4.50078E+02, 6.33070E-01, 4.08121E-04
 4.60077E+02, 6.05850E-01, 3.90573E-04
 4.70077E+02, 5.80349E-01, 3.74133E-04
 4.80076E+02, 5.56425E-01, 3.58710E-04
 4.90076E+02, 5.33950E-01, 3.44221E-04
 5.00075E+02, 5.12809E-01, 3.30592E-04
 5.10075E+02, 4.92900E-01, 3.17758E-04
 5.20074E+02, 4.74128E-01, 3.05656E-04
 5.30074E+02, 4.56409E-01, 2.94233E-04
 5.40073E+02, 4.39664E-01, 2.83438E-04
 5.50073E+02, 4.23825E-01, 2.73227E-04
 5.60072E+02, 4.08826E-01, 2.63558E-04
