PHOENIX module psth; 10/31/16 at 12:16:51 -07:00
temperature (K),isotopic fractionation (perMille/%),error of isotopic fractionation (perMille/%)
 1.00000E-01, 2.32009E+04, 1.35672E+01
 1.00995E+01, 2.14875E+02, 1.34335E-01
 2.00990E+01, 1.00530E+02, 6.75023E-02
 3.00985E+01, 6.22186E+01, 4.50828E-02
 4.00980E+01, 4.31262E+01, 3.38715E-02
 5.00975E+01, 3.18099E+01, 2.71874E-02
 6.00970E+01, 2.44294E+01, 2.27969E-02
 7.00965E+01, 1.93174E+01, 1.97342E-02
 8.00960E+01, 1.56260E+01, 1.75089E-02
 9.00955E+01, 1.28755E+01, 1.58426E-02
 1.00095E+02, 1.07747E+01, 1.45652E-02
 1.10095E+02, 9.13679E+00, 1.35669E-02
 1.20094E+02, 7.83723E+00, 1.27735E-02
 1.30094E+02, 6.79040E+00, 1.21340E-02
 1.40093E+02, 5.93585E+00, 1.16118E-02
 1.50093E+02, 5.22997E+00, 1.11805E-02
 1.60092E+02, 4.64069E+00, 1.08206E-02
 1.70092E+02, 4.14405E+00, 1.05175E-02
 1.80091E+02, 3.72187E+00, 1.02600E-02
 1.90091E+02, 3.36016E+00, 1.00396E-02
 2.00090E+02, 3.04805E+00, 9.84955E-03
 2.10090E+02, 2.77697E+00, 9.68464E-03
 2.20089E+02, 2.54009E+00, 9.54067E-03
 2.30089E+02, 2.33197E+00, 9.41428E-03
 2.40088E+02, 2.14817E+00, 9.30275E-03
 2.50088E+02, 1.98507E+00, 9.20387E-03
 2.60087E+02, 1.83971E+00, 9.11580E-03
 2.70087E+02, 1.70962E+00, 9.03703E-03
 2.80086E+02, 1.59275E+00, 8.96632E-03
 2.90086E+02, 1.48739E+00, 8.90261E-03
 3.00085E+02, 1.39207E+00, 8.84501E-03
 3.10085E+02, 1.30558E+00, 8.79277E-03
 3.20084E+02, 1.22685E+00, 8.74525E-03
 3.30084E+02, 1.15500E+00, 8.70189E-03
 3.40083E+02, 1.08924E+00, 8.66223E-03
 3.50083E+02, 1.02892E+00, 8.62587E-03
 3.60082E+02, 9.73447E-01, 8.59244E-03
 3.70082E+02, 9.22322E-01, 8.56165E-03
 3.80081E+02, 8.75105E-01, 8.53321E-03
 3.90081E+02, 8.31407E-01, 8.50691E-03
 4.00080E+02, 7.90889E-01, 8.48253E-03
 4.10080E+02, 7.53252E-01, 8.45989E-03
 4.20079E+02, 7.18229E-01, 8.43882E-03
 4.30079E+02, 6.85584E-01, 8.41920E-03
 4.40078E+02, 6.55109E-01, 8.40088E-03
 4.50078E+02, 6.26614E-01, 8.38375E-03
 4.60077E+02, 5.99933E-01, 8.36772E-03
 4.70077E+02, 5.74916E-01, 8.35270E-03
 4.80076E+02, 5.51427E-01, 8.33859E-03
 4.90076E+02, 5.29345E-01, 8.32533E-03
 5.00075E+02, 5.08560E-01, 8.31285E-03
 5.10075E+02, 4.88973E-01, 8.30109E-03
 5.20074E+02, 4.70492E-01, 8.29000E-03
 5.30074E+02, 4.53038E-01, 8.27953E-03
 5.40073E+02, 4.36535E-01, 8.26963E-03
 5.50073E+02, 4.20916E-01, 8.26026E-03
 5.60072E+02, 4.06118E-01, 8.25138E-03
 5.70072E+02, 3.92086E-01, 8.24297E-03
 5.80071E+02, 3.78767E-01, 8.23498E-03
 5.90071E+02, 3.66114E-01, 8.22740E-03
 6.00070E+02, 3.54084E-01, 8.22018E-03
 6.10070E+02, 3.42635E-01, 8.21332E-03
 6.20069E+02, 3.31733E-01, 8.20679E-03
 6.30069E+02, 3.21341E-01, 8.20056E-03
 6.40068E+02, 3.11430E-01, 8.19462E-03
 6.50068E+02, 3.01969E-01, 8.18895E-03
 6.60067E+02, 2.92933E-01, 8.18353E-03
 6.70067E+02, 2.84295E-01, 8.17836E-03
 6.80066E+02, 2.76034E-01, 8.17341E-03
 6.90066E+02, 2.68126E-01, 8.16867E-03
 7.00065E+02, 2.60554E-01, 8.16414E-03
 7.10065E+02, 2.53297E-01, 8.15979E-03
 7.20064E+02, 2.46339E-01, 8.15562E-03
 7.30064E+02, 2.39663E-01, 8.15163E-03
 7.40063E+02, 2.33255E-01, 8.14779E-03
 7.50063E+02, 2.27100E-01, 8.14410E-03
 7.60062E+02, 2.21185E-01, 8.14056E-03
 7.70062E+02, 2.15498E-01, 8.13716E-03
 7.80061E+02, 2.10027E-01, 8.13388E-03
 7.90061E+02, 2.04762E-01, 8.13073E-03
 8.00060E+02, 1.99692E-01, 8.12769E-03
 8.10060E+02, 1.94808E-01, 8.12477E-03
 8.20059E+02, 1.90101E-01, 8.12195E-03
 8.30059E+02, 1.85562E-01, 8.11924E-03
 8.40058E+02, 1.81184E-01, 8.11662E-03
 8.50058E+02, 1.76959E-01, 8.11409E-03
 8.60057E+02, 1.72879E-01, 8.11165E-03
 8.70057E+02, 1.68939E-01, 8.10929E-03
 8.80056E+02, 1.65132E-01, 8.10701E-03
 8.90056E+02, 1.61452E-01, 8.10481E-03
 9.00055E+02, 1.57894E-01, 8.10268E-03
 9.10055E+02, 1.54452E-01, 8.10062E-03
 9.20054E+02, 1.51121E-01, 8.09863E-03
 9.30054E+02, 1.47897E-01, 8.09670E-03
 9.40053E+02, 1.44775E-01, 8.09483E-03
 9.50053E+02, 1.41750E-01, 8.09302E-03
 9.60052E+02, 1.38819E-01, 8.09126E-03
 9.70052E+02, 1.35978E-01, 8.08957E-03
 9.80051E+02, 1.33224E-01, 8.08792E-03
 9.90051E+02, 1.30552E-01, 8.08632E-03
 1.00005E+03, 1.27960E-01, 8.08477E-03
 1.01005E+03, 1.25444E-01, 8.08326E-03
