PHOENIX module psth; 10/31/16 at 12:16:51 -07:00
temperature (K),vibrational kinetic energy (meV/atom),error of vibrational kinetic energy (meV/atom)
 1.00000E-01, 6.66865E+00, 3.89711E-03
 1.00995E+01, 6.66873E+00, 3.89711E-03
 2.00990E+01, 6.66993E+00, 3.89713E-03
 3.00985E+01, 6.67604E+00, 3.89770E-03
 4.00980E+01, 6.69494E+00, 3.90130E-03
 5.00975E+01, 6.73606E+00, 3.91234E-03
 6.00970E+01, 6.80651E+00, 3.93532E-03
 7.00965E+01, 6.90976E+00, 3.97346E-03
 8.00960E+01, 7.04616E+00, 4.02829E-03
 9.00955E+01, 7.21404E+00, 4.09998E-03
 1.00095E+02, 7.41069E+00, 4.18776E-03
 1.10095E+02, 7.63303E+00, 4.29039E-03
 1.20094E+02, 7.87802E+00, 4.40640E-03
 1.30094E+02, 8.14278E+00, 4.53430E-03
 1.40093E+02, 8.42479E+00, 4.67268E-03
 1.50093E+02, 8.72180E+00, 4.82026E-03
 1.60092E+02, 9.03189E+00, 4.97590E-03
 1.70092E+02, 9.35338E+00, 5.13861E-03
 1.80091E+02, 9.68486E+00, 5.30751E-03
 1.90091E+02, 1.00251E+01, 5.48186E-03
 2.00090E+02, 1.03731E+01, 5.66101E-03
 2.10090E+02, 1.07279E+01, 5.84440E-03
 2.20089E+02, 1.10887E+01, 6.03156E-03
 2.30089E+02, 1.14550E+01, 6.22206E-03
 2.40088E+02, 1.18261E+01, 6.41555E-03
 2.50088E+02, 1.22014E+01, 6.61172E-03
 2.60087E+02, 1.25807E+01, 6.81028E-03
 2.70087E+02, 1.29635E+01, 7.01101E-03
 2.80086E+02, 1.33494E+01, 7.21370E-03
 2.90086E+02, 1.37382E+01, 7.41815E-03
 3.00085E+02, 1.41296E+01, 7.62421E-03
 3.10085E+02, 1.45234E+01, 7.83173E-03
 3.20084E+02, 1.49194E+01, 8.04059E-03
 3.30084E+02, 1.53173E+01, 8.25068E-03
 3.40083E+02, 1.57171E+01, 8.46188E-03
 3.50083E+02, 1.61186E+01, 8.67412E-03
 3.60082E+02, 1.65216E+01, 8.88731E-03
 3.70082E+02, 1.69261E+01, 9.10137E-03
 3.80081E+02, 1.73318E+01, 9.31624E-03
 3.90081E+02, 1.77389E+01, 9.53187E-03
 4.00080E+02, 1.81470E+01, 9.74820E-03
 4.10080E+02, 1.85563E+01, 9.96517E-03
 4.20079E+02, 1.89665E+01, 1.01827E-02
 4.30079E+02, 1.93776E+01, 1.04009E-02
 4.40078E+02, 1.97896E+01, 1.06196E-02
 4.50078E+02, 2.02025E+01, 1.08387E-02
 4.60077E+02, 2.06160E+01, 1.10583E-02
 4.70077E+02, 2.10303E+01, 1.12784E-02
 4.80076E+02, 2.14453E+01, 1.14989E-02
 4.90076E+02, 2.18609E+01, 1.17197E-02
 5.00075E+02, 2.22771E+01, 1.19409E-02
 5.10075E+02, 2.26939E+01, 1.21624E-02
 5.20074E+02, 2.31111E+01, 1.23843E-02
 5.30074E+02, 2.35289E+01, 1.26065E-02
 5.40073E+02, 2.39472E+01, 1.28289E-02
 5.50073E+02, 2.43659E+01, 1.30517E-02
 5.60072E+02, 2.47850E+01, 1.32746E-02
 5.70072E+02, 2.52045E+01, 1.34979E-02
 5.80071E+02, 2.56245E+01, 1.37213E-02
 5.90071E+02, 2.60447E+01, 1.39450E-02
 6.00070E+02, 2.64654E+01, 1.41689E-02
 6.10070E+02, 2.68863E+01, 1.43930E-02
 6.20069E+02, 2.73076E+01, 1.46172E-02
 6.30069E+02, 2.77292E+01, 1.48417E-02
 6.40068E+02, 2.81510E+01, 1.50663E-02
 6.50068E+02, 2.85731E+01, 1.52911E-02
 6.60067E+02, 2.89955E+01, 1.55160E-02
 6.70067E+02, 2.94182E+01, 1.57411E-02
 6.80066E+02, 2.98410E+01, 1.59664E-02
 6.90066E+02, 3.02641E+01, 1.61918E-02
 7.00065E+02, 3.06874E+01, 1.64173E-02
 7.10065E+02, 3.11110E+01, 1.66429E-02
 7.20064E+02, 3.15347E+01, 1.68687E-02
 7.30064E+02, 3.19586E+01, 1.70945E-02
 7.40063E+02, 3.23827E+01, 1.73205E-02
 7.50063E+02, 3.28070E+01, 1.75466E-02
 7.60062E+02, 3.32315E+01, 1.77728E-02
 7.70062E+02, 3.36561E+01, 1.79991E-02
 7.80061E+02, 3.40809E+01, 1.82255E-02
 7.90061E+02, 3.45058E+01, 1.84519E-02
 8.00060E+02, 3.49309E+01, 1.86785E-02
 8.10060E+02, 3.53561E+01, 1.89051E-02
 8.20059E+02, 3.57814E+01, 1.91319E-02
 8.30059E+02, 3.62069E+01, 1.93587E-02
 8.40058E+02, 3.66325E+01, 1.95856E-02
 8.50058E+02, 3.70583E+01, 1.98125E-02
