@page size 600,600
@view 0.12,0.1,0.97,0.93
@subtitle "PHOENIX module phox, 10/31/16 at 12:49:49 -07:00"
@xaxes scale Normal
@yaxes scale Normal
@xaxis label "energy (meV)"
@yaxis label "one-phonon contribution (1/eV)"
@type xy
 -6.75287E+01 -3.58283E-02
 -6.72795E+01 -4.65978E-02
 -6.70303E+01 -4.25352E-02
 -6.67811E+01 -2.80985E-02
 -6.65320E+01 -7.95875E-03
 -6.62828E+01  1.27598E-02
 -6.60336E+01  2.19666E-02
 -6.57844E+01  1.15632E-02
 -6.55352E+01  4.27929E-03
 -6.52860E+01  5.48222E-03
 -6.50369E+01 -5.77124E-03
 -6.47877E+01 -2.02757E-02
 -6.45385E+01 -2.23539E-02
 -6.42893E+01 -1.93566E-02
 -6.40401E+01 -1.24539E-02
 -6.37909E+01 -8.85081E-03
 -6.35418E+01 -1.35545E-02
 -6.32926E+01 -1.23341E-02
 -6.30434E+01 -3.50970E-03
 -6.27942E+01  5.21641E-03
 -6.25450E+01  7.11161E-03
 -6.22958E+01 -1.11373E-03
 -6.20467E+01 -1.04576E-02
 -6.17975E+01 -1.08615E-02
 -6.15483E+01 -9.48749E-04
 -6.12991E+01  8.99825E-03
 -6.10499E+01  8.49655E-03
 -6.08007E+01 -1.44952E-03
 -6.05516E+01 -7.98851E-03
 -6.03024E+01 -8.54070E-04
 -6.00532E+01  7.72312E-03
 -5.98040E+01  2.35879E-03
 -5.95548E+01 -1.20600E-02
 -5.93056E+01 -2.16960E-02
 -5.90565E+01 -1.05112E-02
 -5.88073E+01  1.43288E-02
 -5.85581E+01  2.35746E-02
 -5.83089E+01  1.43502E-02
 -5.80597E+01  9.47584E-03
 -5.78105E+01  1.88609E-02
 -5.75614E+01  3.44391E-02
 -5.73122E+01  3.95400E-02
 -5.70630E+01  3.08702E-02
 -5.68138E+01  2.74765E-02
 -5.65646E+01  4.05752E-02
 -5.63154E+01  5.86110E-02
 -5.60663E+01  7.24324E-02
 -5.58171E+01  8.39579E-02
 -5.55679E+01  8.72786E-02
 -5.53187E+01  9.24089E-02
 -5.50695E+01  1.13320E-01
 -5.48203E+01  1.35137E-01
 -5.45712E+01  1.41294E-01
 -5.43220E+01  1.45543E-01
 -5.40728E+01  1.70967E-01
 -5.38236E+01  2.01090E-01
 -5.35744E+01  2.06351E-01
 -5.33252E+01  1.86747E-01
 -5.30761E+01  1.53660E-01
 -5.28269E+01  1.30608E-01
 -5.25777E+01  1.33141E-01
 -5.23285E+01  1.46039E-01
 -5.20793E+01  1.64178E-01
 -5.18301E+01  1.94094E-01
 -5.15810E+01  2.13935E-01
 -5.13318E+01  2.06898E-01
 -5.10826E+01  1.91608E-01
 -5.08334E+01  1.77228E-01
 -5.05842E+01  1.58496E-01
 -5.03350E+01  1.41666E-01
 -5.00859E+01  1.37110E-01
 -4.98367E+01  1.37197E-01
 -4.95875E+01  1.39853E-01
 -4.93383E+01  1.52192E-01
 -4.90891E+01  1.65344E-01
 -4.88399E+01  1.62373E-01
 -4.85908E+01  1.47212E-01
 -4.83416E+01  1.30233E-01
 -4.80924E+01  1.20174E-01
 -4.78432E+01  1.25665E-01
 -4.75940E+01  1.55551E-01
 -4.73448E+01  2.01402E-01
 -4.70957E+01  2.29913E-01
 -4.68465E+01  2.20552E-01
 -4.65973E+01  1.94397E-01
 -4.63481E+01  1.80528E-01
 -4.60989E+01  1.84342E-01
 -4.58497E+01  1.85764E-01
 -4.56006E+01  1.79198E-01
 -4.53514E+01  1.80801E-01
 -4.51022E+01  2.01877E-01
 -4.48530E+01  2.33200E-01
 -4.46038E+01  2.48038E-01
 -4.43546E+01  2.51828E-01
 -4.41055E+01  2.61796E-01
 -4.38563E+01  2.58096E-01
 -4.36071E+01  2.44386E-01
 -4.33579E+01  2.43650E-01
 -4.31087E+01  2.48112E-01
 -4.28595E+01  2.72851E-01
 -4.26104E+01  3.13077E-01
 -4.23612E+01  3.15607E-01
 -4.21120E+01  2.80605E-01
 -4.18628E+01  2.63956E-01
 -4.16136E+01  2.68294E-01
 -4.13644E+01  2.75163E-01
 -4.11153E+01  2.78498E-01
 -4.08661E+01  2.74883E-01
 -4.06169E+01  2.86496E-01
 -4.03677E+01  3.11946E-01
 -4.01185E+01  3.15617E-01
 -3.98693E+01  3.00261E-01
 -3.96202E+01  3.11548E-01
 -3.93710E+01  3.62935E-01
 -3.91218E+01  3.85318E-01
 -3.88726E+01  3.23958E-01
 -3.86234E+01  2.49340E-01
 -3.83742E+01  2.54207E-01
 -3.81251E+01  3.15012E-01
 -3.78759E+01  3.53454E-01
 -3.76267E+01  3.66320E-01
 -3.73775E+01  3.78043E-01
 -3.71283E+01  3.87669E-01
 -3.68791E+01  3.87134E-01
 -3.66300E+01  3.66962E-01
 -3.63808E+01  3.45199E-01
 -3.61316E+01  3.54527E-01
 -3.58824E+01  4.04071E-01
 -3.56332E+01  4.85598E-01
 -3.53840E+01  5.57487E-01
 -3.51349E+01  5.80373E-01
 -3.48857E+01  5.74953E-01
 -3.46365E+01  5.62793E-01
 -3.43873E+01  5.50499E-01
 -3.41381E+01  5.81015E-01
 -3.38889E+01  6.52673E-01
 -3.36398E+01  6.97361E-01
 -3.33906E+01  6.89778E-01
 -3.31414E+01  6.81036E-01
 -3.28922E+01  6.91628E-01
 -3.26430E+01  7.10302E-01
 -3.23938E+01  7.29058E-01
 -3.21447E+01  7.55348E-01
 -3.18955E+01  7.91074E-01
 -3.16463E+01  8.28565E-01
 -3.13971E+01  8.64354E-01
 -3.11479E+01  8.88750E-01
 -3.08987E+01  9.09186E-01
 -3.06496E+01  9.64313E-01
 -3.04004E+01  1.04012E+00
 -3.01512E+01  1.06998E+00
 -2.99020E+01  1.05598E+00
 -2.96528E+01  1.05047E+00
 -2.94036E+01  1.06850E+00
 -2.91545E+01  1.09166E+00
 -2.89053E+01  1.07718E+00
 -2.86561E+01  1.03399E+00
 -2.84069E+01  1.02005E+00
 -2.81577E+01  1.02063E+00
 -2.79085E+01  9.79072E-01
 -2.76594E+01  8.90751E-01
 -2.74102E+01  8.13695E-01
 -2.71610E+01  7.83030E-01
 -2.69118E+01  7.90310E-01
 -2.66626E+01  7.98414E-01
 -2.64134E+01  7.92691E-01
 -2.61643E+01  7.69021E-01
 -2.59151E+01  7.04867E-01
 -2.56659E+01  6.47582E-01
 -2.54167E+01  6.52993E-01
 -2.51675E+01  6.69941E-01
 -2.49183E+01  6.52532E-01
 -2.46692E+01  6.28387E-01
 -2.44200E+01  6.12681E-01
 -2.41708E+01  6.16404E-01
 -2.39216E+01  6.41932E-01
 -2.36724E+01  6.50182E-01
 -2.34232E+01  6.21772E-01
 -2.31741E+01  5.76016E-01
 -2.29249E+01  5.40300E-01
 -2.26757E+01  5.40935E-01
 -2.24265E+01  5.60267E-01
 -2.21773E+01  5.51007E-01
 -2.19281E+01  5.20448E-01
 -2.16790E+01  5.03834E-01
 -2.14298E+01  4.86632E-01
 -2.11806E+01  4.44377E-01
 -2.09314E+01  4.15291E-01
 -2.06822E+01  4.58123E-01
 -2.04330E+01  5.35588E-01
 -2.01839E+01  5.58733E-01
 -1.99347E+01  5.24815E-01
 -1.96855E+01  4.91320E-01
 -1.94363E+01  4.93276E-01
 -1.91871E+01  5.11258E-01
 -1.89379E+01  4.95996E-01
 -1.86888E+01  4.59996E-01
 -1.84396E+01  4.57733E-01
 -1.81904E+01  4.72655E-01
 -1.79412E+01  4.52037E-01
 -1.76920E+01  4.29542E-01
 -1.74428E+01  4.61214E-01
 -1.71937E+01  5.15163E-01
 -1.69445E+01  5.23768E-01
 -1.66953E+01  5.02222E-01
 -1.64461E+01  4.99615E-01
 -1.61969E+01  4.96281E-01
 -1.59477E+01  4.65788E-01
 -1.56986E+01  4.51126E-01
 -1.54494E+01  4.76056E-01
 -1.52002E+01  4.94580E-01
 -1.49510E+01  4.80885E-01
 -1.47018E+01  4.65245E-01
 -1.44526E+01  4.66013E-01
 -1.42035E+01  4.67865E-01
 -1.39543E+01  4.65738E-01
 -1.37051E+01  4.78566E-01
 -1.34559E+01  4.97355E-01
 -1.32067E+01  4.86514E-01
 -1.29575E+01  4.61347E-01
 -1.27084E+01  4.40436E-01
 -1.24592E+01  4.26808E-01
 -1.22100E+01  4.37678E-01
 -1.19608E+01  4.58998E-01
 -1.17116E+01  4.45467E-01
 -1.14624E+01  4.11914E-01
 -1.12133E+01  4.32816E-01
 -1.09641E+01  5.05951E-01
 -1.07149E+01  5.49064E-01
 -1.04657E+01  5.34007E-01
 -1.02165E+01  4.93029E-01
 -9.96733E+00  4.71489E-01
 -9.71815E+00  4.94258E-01
 -9.46897E+00  5.14748E-01
 -9.21978E+00  5.04100E-01
 -8.97060E+00  4.99916E-01
 -8.72142E+00  4.99965E-01
 -8.47223E+00  4.84829E-01
 -8.22305E+00  4.72567E-01
 -7.97387E+00  4.66794E-01
 -7.72468E+00  4.73877E-01
 -7.47550E+00  4.94566E-01
 -7.22632E+00  4.91223E-01
 -6.97713E+00  4.66731E-01
 -6.72795E+00  4.68942E-01
 -6.47877E+00  4.81038E-01
 -6.22958E+00  4.60823E-01
 -5.98040E+00  4.33693E-01
 -5.73122E+00  4.38259E-01
 -5.48203E+00  4.88052E-01
 -5.23285E+00  5.31451E-01
 -4.98367E+00  5.05923E-01
 -4.73448E+00  4.71746E-01
 -4.48530E+00  5.14576E-01
 -4.23612E+00  5.94469E-01
 -3.98693E+00  6.35287E-01
 -3.73775E+00  6.10810E-01
 -3.48857E+00  5.69808E-01
 -3.23938E+00  5.69530E-01
 -2.99020E+00  5.97414E-01
 -2.74102E+00  6.27303E-01
 -2.49183E+00  6.44967E-01
 -2.24265E+00  6.45339E-01
 -1.99347E+00  6.31126E-01
 -1.74428E+00  6.00413E-01
 -1.49510E+00  5.51079E-01
 -1.24592E+00  5.02945E-01
 -9.96733E-01  5.00122E-01
 -7.47550E-01  5.60622E-01
 -4.98367E-01  6.44220E-01
 -2.49183E-01  6.86115E-01
  0.00000E+00  6.59069E-01
  2.49183E-01  5.86520E-01
  4.98367E-01  5.09231E-01
  7.47550E-01  4.76789E-01
  9.96733E-01  5.12345E-01
  1.24592E+00  5.77524E-01
  1.49510E+00  6.19241E-01
  1.74428E+00  6.25585E-01
  1.99347E+00  6.18449E-01
  2.24265E+00  6.08735E-01
  2.49183E+00  5.96804E-01
  2.74102E+00  5.92772E-01
  2.99020E+00  6.04194E-01
  3.23938E+00  6.38270E-01
  3.48857E+00  6.66976E-01
  3.73775E+00  6.38631E-01
  3.98693E+00  5.82777E-01
  4.23612E+00  5.52986E-01
  4.48530E+00  5.47060E-01
  4.73448E+00  5.50271E-01
  4.98367E+00  5.53018E-01
  5.23285E+00  5.57142E-01
  5.48203E+00  5.80990E-01
  5.73122E+00  6.09254E-01
  5.98040E+00  6.08088E-01
  6.22958E+00  6.13186E-01
  6.47877E+00  6.37388E-01
  6.72795E+00  6.46060E-01
  6.97713E+00  6.52534E-01
  7.22632E+00  6.56383E-01
  7.47550E+00  6.56482E-01
  7.72468E+00  6.64322E-01
  7.97387E+00  6.64578E-01
  8.22305E+00  6.63046E-01
  8.47223E+00  6.64483E-01
  8.72142E+00  6.70753E-01
  8.97060E+00  6.92220E-01
  9.21978E+00  7.09409E-01
  9.46897E+00  7.20807E-01
  9.71815E+00  7.62643E-01
  9.96733E+00  7.99769E-01
  1.02165E+01  7.61329E-01
  1.04657E+01  6.99649E-01
  1.07149E+01  6.94475E-01
  1.09641E+01  6.88782E-01
  1.12133E+01  6.46522E-01
  1.14624E+01  6.45888E-01
  1.17116E+01  7.09849E-01
  1.19608E+01  7.72903E-01
  1.22100E+01  7.99907E-01
  1.24592E+01  7.72278E-01
  1.27084E+01  7.18156E-01
  1.29575E+01  7.28819E-01
  1.32067E+01  7.88262E-01
  1.34559E+01  8.32534E-01
  1.37051E+01  8.75840E-01
  1.39543E+01  9.00132E-01
  1.42035E+01  8.83696E-01
  1.44526E+01  8.46339E-01
  1.47018E+01  8.01991E-01
  1.49510E+01  7.90843E-01
  1.52002E+01  8.27215E-01
  1.54494E+01  8.46956E-01
  1.56986E+01  8.23202E-01
  1.59477E+01  8.34218E-01
  1.61969E+01  8.85322E-01
  1.64461E+01  8.92707E-01
  1.66953E+01  8.66074E-01
  1.69445E+01  8.45798E-01
  1.71937E+01  8.35503E-01
  1.74428E+01  8.34571E-01
  1.76920E+01  8.37830E-01
  1.79412E+01  8.33967E-01
  1.81904E+01  8.30760E-01
  1.84396E+01  8.64259E-01
  1.86888E+01  9.39808E-01
  1.89379E+01  1.01981E+00
