@page size 600,600
@view 0.12,0.1,0.97,0.93
@subtitle "PHOENIX module phox, 10/31/16 at 12:49:49 -07:00"
@xaxes scale Normal
@yaxes scale Normal
@xaxis label "energy (meV)"
@yaxis label "normalized data (1/eV)"
@s0 errorbar size 0.0
@type xydy
 -6.76023E+01 -4.35653E-02  1.29990E-02
 -6.73531E+01 -4.35581E-02  1.29990E-02
 -6.71040E+01 -4.35508E-02  1.29990E-02
 -6.68548E+01 -4.35460E-02  1.29990E-02
 -6.66056E+01  5.15024E-03  2.45912E-02
 -6.63564E+01  1.36925E-03  2.36162E-02
 -6.61072E+01  4.53923E-02  3.32367E-02
 -6.58580E+01  2.44668E-02  2.90643E-02
 -6.56089E+01 -1.12861E-02  2.00120E-02
 -6.53597E+01  3.29776E-02  3.08326E-02
 -6.51105E+01  5.19358E-03  2.46013E-02
 -6.48613E+01 -3.11671E-02  1.30000E-02
 -6.46121E+01 -1.82855E-03  2.27592E-02
 -6.43629E+01 -2.30924E-02  1.59210E-02
 -6.41138E+01 -2.08245E-02  1.67832E-02
 -6.38646E+01  2.08046E-02  2.82765E-02
 -6.36154E+01 -2.32391E-02  1.58587E-02
 -6.33662E+01  1.11380E-03  2.35496E-02
 -6.31170E+01 -9.97395E-03  2.04097E-02
 -6.28678E+01  6.37488E-03  2.49019E-02
 -6.26187E+01  3.02236E-02  3.02834E-02
 -6.23695E+01  7.19989E-03  2.51073E-02
 -6.21203E+01  1.50825E-04  2.32937E-02
 -6.18711E+01 -2.93218E-02  1.32437E-02
 -6.16219E+01  1.30722E-02  2.65258E-02
 -6.13727E+01  2.50117E-02  2.91967E-02
 -6.11236E+01  1.43890E-02  2.68343E-02
 -6.08744E+01  7.76784E-04  2.34609E-02
 -6.06252E+01  2.13879E-03  2.38203E-02
 -6.03760E+01  6.31079E-03  2.48884E-02
 -6.01268E+01  7.23409E-03  2.51189E-02
 -5.98776E+01  1.83654E-02  2.77461E-02
 -5.96285E+01  4.47876E-03  2.44253E-02
 -5.93793E+01 -1.63462E-02  1.83499E-02
 -5.91301E+01 -2.33325E-02  1.57961E-02
 -5.88809E+01  6.01233E-03  2.48147E-02
 -5.86317E+01  5.84190E-02  3.56395E-02
 -5.83825E+01  2.71794E-02  2.96672E-02
 -5.81334E+01 -1.26637E-03  2.29113E-02
 -5.78842E+01  3.16115E-02  3.05884E-02
 -5.76350E+01  1.78752E-02  2.76422E-02
 -5.73858E+01  7.90814E-02  3.91024E-02
 -5.71366E+01  3.48964E-02  3.12553E-02
 -5.68874E+01  4.03172E-02  3.23224E-02
 -5.66383E+01 -4.27052E-03  2.20765E-02
 -5.63891E+01  1.15582E-01  4.45658E-02
 -5.61399E+01  5.51482E-02  3.50774E-02
 -5.58907E+01  9.08732E-02  4.09573E-02
 -5.56415E+01  1.08635E-01  4.35883E-02
 -5.53923E+01  7.42432E-02  3.83379E-02
 -5.51432E+01  1.38463E-01  4.76836E-02
 -5.48940E+01  1.21340E-01  4.53833E-02
 -5.46448E+01  1.68576E-01  5.14910E-02
 -5.43956E+01  1.48549E-01  4.89992E-02
 -5.41464E+01  1.47179E-01  4.88267E-02
 -5.38972E+01  2.30643E-01  5.85650E-02
 -5.36481E+01  2.28760E-01  5.83671E-02
 -5.33989E+01  1.98667E-01  5.50468E-02
 -5.31497E+01  1.99315E-01  5.51239E-02
 -5.29005E+01  1.10380E-01  4.38673E-02
 -5.26513E+01  1.45996E-01  4.86937E-02
 -5.24021E+01  1.48070E-01  4.89631E-02
 -5.21529E+01  1.66672E-01  5.12933E-02
 -5.19038E+01  1.81425E-01  5.30700E-02
 -5.16546E+01  2.57588E-01  6.14184E-02
 -5.14054E+01  2.12596E-01  5.66417E-02
 -5.11562E+01  2.14701E-01  5.68783E-02
 -5.09070E+01  1.75405E-01  5.23677E-02
 -5.06578E+01  2.07807E-01  5.61204E-02
 -5.04087E+01  1.29478E-01  4.65450E-02
 -5.01595E+01  1.49467E-01  4.91711E-02
 -4.99103E+01  1.38881E-01  4.78027E-02
 -4.96611E+01  1.65180E-01  5.11446E-02
 -4.94119E+01  1.45420E-01  4.86605E-02
 -4.91627E+01  1.74308E-01  5.22607E-02
 -4.89136E+01  1.78825E-01  5.28044E-02
 -4.86644E+01  1.80002E-01  5.29477E-02
 -4.84152E+01  1.46719E-01  4.88408E-02
 -4.81660E+01  1.11374E-01  4.40597E-02
 -4.79168E+01  1.20625E-01  4.53636E-02
 -4.76676E+01  1.65327E-01  5.11901E-02
 -4.74185E+01  1.81543E-01  5.31490E-02
 -4.71693E+01  2.75480E-01  6.33024E-02
 -4.69201E+01  2.23224E-01  5.78805E-02
 -4.66709E+01  2.33894E-01  5.90334E-02
 -4.64217E+01  1.80176E-01  5.30013E-02
 -4.61725E+01  1.90514E-01  5.42191E-02
 -4.59234E+01  1.94090E-01  5.46363E-02
 -4.56742E+01  1.99011E-01  5.52045E-02
 -4.54250E+01  2.03876E-01  5.57607E-02
 -4.51758E+01  1.66063E-01  5.13149E-02
 -4.49266E+01  2.45748E-01  6.03144E-02
 -4.46774E+01  2.99960E-01  6.57389E-02
 -4.44283E+01  2.19043E-01  5.74648E-02
 -4.41791E+01  2.88997E-01  6.46902E-02
 -4.39299E+01  3.21992E-01  6.78341E-02
 -4.36807E+01  1.83715E-01  5.34602E-02
 -4.34315E+01  3.03403E-01  6.60933E-02
 -4.31823E+01  2.53423E-01  6.11415E-02
 -4.29332E+01  2.58330E-01  6.16510E-02
 -4.26840E+01  2.95083E-01  6.53094E-02
 -4.24348E+01  3.96816E-01  7.44991E-02
 -4.21856E+01  3.07356E-01  6.64941E-02
 -4.19364E+01  2.44626E-01  6.02492E-02
 -4.16872E+01  2.85161E-01  6.43620E-02
 -4.14381E+01  2.66939E-01  6.25531E-02
 -4.11889E+01  3.47216E-01  7.01973E-02
 -4.09397E+01  2.68740E-01  6.27440E-02
 -4.06905E+01  2.44282E-01  6.02347E-02
 -4.04413E+01  3.64838E-01  7.17824E-02
 -4.01921E+01  3.48554E-01  7.03388E-02
 -3.99430E+01  3.18006E-01  6.75429E-02
 -3.96938E+01  2.71375E-01  6.30322E-02
 -3.94446E+01  3.46291E-01  7.01511E-02
 -3.91954E+01  5.02478E-01  8.30544E-02
 -3.89462E+01  3.51102E-01  7.05943E-02
 -3.86970E+01  2.63318E-01  6.22364E-02
 -3.84479E+01  1.82158E-01  5.33546E-02
 -3.81987E+01  3.68771E-01  7.21778E-02
 -3.79495E+01  3.68504E-01  7.21595E-02
 -3.77003E+01  3.52374E-01  7.07353E-02
 -3.74511E+01  4.16505E-01  7.62666E-02
 -3.72019E+01  4.01785E-01  7.50398E-02
 -3.69528E+01  4.15452E-01  7.61907E-02
 -3.67036E+01  3.90360E-01  7.40803E-02
 -3.64544E+01  3.58245E-01  7.12861E-02
 -3.62052E+01  3.65769E-01  7.19573E-02
 -3.59560E+01  3.71776E-01  7.24901E-02
 -3.57068E+01  4.56404E-01  7.95545E-02
 -3.54577E+01  6.04691E-01  9.06132E-02
 -3.52085E+01  6.52870E-01  9.39311E-02
 -3.49593E+01  5.10614E-01  8.37836E-02
 -3.47101E+01  6.72607E-01  9.52711E-02
 -3.44609E+01  5.40159E-01  8.60051E-02
 -3.42117E+01  5.50919E-01  8.68029E-02
 -3.39626E+01  6.30147E-01  9.24226E-02
 -3.37134E+01  8.22523E-01  1.04814E-01
 -3.34642E+01  6.39145E-01  9.30531E-02
 -3.32150E+01  7.59353E-01  1.00932E-01
 -3.29658E+01  6.64153E-01  9.47595E-02
 -3.27166E+01  7.52785E-01  1.00534E-01
 -3.24675E+01  7.48547E-01  1.00274E-01
 -3.22183E+01  7.45733E-01  1.00104E-01
 -3.19691E+01  8.33093E-01  1.05514E-01
 -3.17199E+01  8.31518E-01  1.05427E-01
 -3.14707E+01  8.75350E-01  1.08047E-01
 -3.12215E+01  9.43234E-01  1.11980E-01
 -3.09724E+01  9.10718E-01  1.10127E-01
 -3.07232E+01  9.42678E-01  1.11968E-01
 -3.04740E+01  1.05967E+00  1.18438E-01
 -3.02248E+01  1.17776E+00  1.24632E-01
 -2.99756E+01  1.02250E+00  1.16443E-01
 -2.97264E+01  1.12624E+00  1.21993E-01
 -2.94773E+01  1.07737E+00  1.19425E-01
 -2.92281E+01  1.07769E+00  1.19453E-01
 -2.89789E+01  1.22528E+00  1.27089E-01
 -2.87297E+01  1.02117E+00  1.16419E-01
 -2.84805E+01  1.05049E+00  1.18022E-01
 -2.82313E+01  1.02858E+00  1.16843E-01
 -2.79822E+01  1.13023E+00  1.22271E-01
 -2.77330E+01  9.07289E-01  1.10045E-01
 -2.74838E+01  8.48128E-01  1.06572E-01
 -2.72346E+01  7.98734E-01  1.03582E-01
 -2.69854E+01  8.04129E-01  1.03922E-01
 -2.67362E+01  8.73730E-01  1.08119E-01
 -2.64871E+01  7.71332E-01  1.01906E-01
 -2.62379E+01  8.51615E-01  1.06824E-01
 -2.59887E+01  8.09616E-01  1.04293E-01
 -2.57395E+01  6.02347E-01  9.07310E-02
 -2.54903E+01  6.56693E-01  9.44856E-02
 -2.52411E+01  7.55506E-01  1.00951E-01
 -2.49920E+01  6.82747E-01  9.62451E-02
 -2.47428E+01  6.41114E-01  9.34494E-02
 -2.44936E+01  6.56774E-01  9.45213E-02
 -2.42444E+01  6.20819E-01  9.20658E-02
 -2.39952E+01  6.78070E-01  9.59656E-02
 -2.37460E+01  6.83514E-01  9.63352E-02
 -2.34969E+01  6.63612E-01  9.50130E-02
 -2.32477E+01  6.52288E-01  9.42551E-02
 -2.29985E+01  5.60619E-01  8.78228E-02
 -2.27493E+01  5.11243E-01  8.41561E-02
 -2.25001E+01  5.99622E-01  9.06334E-02
 -2.22509E+01  6.57928E-01  9.46674E-02
 -2.20018E+01  5.11161E-01  8.41696E-02
 -2.17526E+01  5.22075E-01  8.50032E-02
 -2.15034E+01  5.31040E-01  8.56816E-02
 -2.12542E+01  5.38039E-01  8.62102E-02
 -2.10050E+01  4.10981E-01  7.61950E-02
 -2.07558E+01  3.69483E-01  7.26293E-02
 -2.05067E+01  6.09172E-01  9.13640E-02
 -2.02575E+01  6.51319E-01  9.42794E-02
 -2.00083E+01  5.37869E-01  8.62320E-02
 -1.97591E+01  5.25740E-01  8.53324E-02
 -1.95099E+01  4.80226E-01  8.18481E-02
 -1.92607E+01  5.71007E-01  8.86823E-02
 -1.90116E+01  5.72708E-01  8.88116E-02
 -1.87624E+01  4.77900E-01  8.16847E-02
 -1.85132E+01  4.11014E-01  7.62572E-02
 -1.82640E+01  5.77796E-01  8.92004E-02
 -1.80148E+01  5.19356E-01  8.48985E-02
 -1.77656E+01  4.06266E-01  7.58747E-02
 -1.75165E+01  4.25718E-01  7.75099E-02
 -1.72673E+01  5.91919E-01  9.02398E-02
 -1.70181E+01  6.09209E-01  9.14693E-02
 -1.67689E+01  4.92303E-01  8.28612E-02
 -1.65197E+01  4.97098E-01  8.32388E-02
 -1.62705E+01  5.96564E-01  9.05988E-02
 -1.60214E+01  5.27557E-01  8.55704E-02
 -1.57722E+01  4.07248E-01  7.60059E-02
 -1.55230E+01  5.10437E-01  8.42886E-02
 -1.52738E+01  5.55819E-01  8.76893E-02
 -1.50246E+01  5.43158E-01  8.67627E-02
 -1.47754E+01  4.63138E-01  8.06193E-02
 -1.45263E+01  5.00740E-01  8.35727E-02
 -1.42771E+01  5.09728E-01  8.42683E-02
 -1.40279E+01  5.31163E-01  8.58967E-02
 -1.37787E+01  4.27929E-01  7.77834E-02
 -1.35295E+01  6.04311E-01  9.12278E-02
 -1.32803E+01  5.19485E-01  8.50368E-02
 -1.30312E+01  4.80802E-01  8.20626E-02
 -1.27820E+01  5.19345E-01  8.50401E-02
 -1.25328E+01  4.25750E-01  7.76335E-02
 -1.22836E+01  4.76986E-01  8.17817E-02
 -1.20344E+01  4.75792E-01  8.16940E-02
 -1.17852E+01  5.32380E-01  8.60495E-02
 -1.15361E+01  4.59501E-01  8.04107E-02
 -1.12869E+01  3.83037E-01  7.40337E-02
 -1.10377E+01  5.24133E-01  8.54498E-02
 -1.07885E+01  6.39053E-01  9.37312E-02
 -1.05393E+01  6.00816E-01  9.10689E-02
 -1.02901E+01  5.26959E-01  8.56838E-02
 -1.00410E+01  4.84572E-01  8.24367E-02
 -9.79178E+00  5.17574E-01  8.49877E-02
 -9.54260E+00  6.04343E-01  9.20976E-02
 -9.29341E+00  5.20056E-01  8.61020E-02
 -9.04423E+00  5.09853E-01  8.54663E-02
 -8.79505E+00  6.17424E-01  9.32748E-02
 -8.54586E+00  4.89257E-01  8.39464E-02
 -8.29668E+00  4.88889E-01  8.39476E-02
 -8.04750E+00  5.78243E-01  9.06566E-02
 -7.79831E+00  4.53293E-01  8.14247E-02
 -7.54913E+00  5.21630E-01  8.68579E-02
 -7.29995E+00  5.97249E-01  9.24474E-02
 -7.05076E+00  5.16943E-01  8.67482E-02
 -6.80158E+00  4.39817E-01  8.10060E-02
 -6.55240E+00  5.77680E-01  9.15468E-02
 -6.30321E+00  5.13652E-01  8.71497E-02
 -6.05403E+00  4.98744E-01  8.62938E-02
 -5.80484E+00  4.36470E-01  8.16502E-02
 -5.55566E+00  4.77475E-01  8.49406E-02
 -5.30648E+00  6.21604E-01  9.54255E-02
 -5.05729E+00  6.65600E-01  9.85375E-02
 -4.80811E+00  3.76819E-01  7.74732E-02
 -4.55893E+00  5.56684E-01  9.14822E-02
 -4.30974E+00  6.55687E-01  9.84457E-02
 -4.06056E+00  6.79767E-01  1.00157E-01
 -3.81138E+00  7.36222E-01  1.04363E-01
 -3.56219E+00  5.65309E-01  9.91234E-02
 -3.31301E+00  6.22881E-01  1.07593E-01
 -3.06383E+00  6.47585E-01  1.06256E-01
 -2.81464E+00  6.70201E-01  1.10043E-01
 -2.56546E+00  6.95306E-01  1.21168E-01
 -2.31628E+00  7.11908E-01  1.33753E-01
 -2.06709E+00  7.07586E-01  1.55043E-01
 -1.81791E+00  6.74661E-01  1.81919E-01
 -1.56873E+00  6.18446E-01  2.19786E-01
 -1.31954E+00  5.57111E-01  3.02206E-01
 -1.07036E+00  5.29442E-01  4.36209E-01
 -8.21178E-01  5.73151E-01  6.27904E-01
 -5.71994E-01  6.77057E-01  8.53207E-01
 -3.22811E-01  7.69304E-01  1.04504E+00
 -7.36276E-02  7.72971E-01  1.15261E+00
  1.75556E-01  6.77225E-01  1.13201E+00
  4.24739E-01  5.58111E-01  9.86774E-01
  6.73922E-01  5.04970E-01  7.78145E-01
  9.23106E-01  5.40514E-01  5.78043E-01
  1.17229E+00  6.19880E-01  3.93927E-01
  1.42147E+00  6.82358E-01  2.81549E-01
  1.67066E+00  6.98995E-01  2.12514E-01
  1.91984E+00  6.83108E-01  1.60562E-01
  2.16902E+00  6.63200E-01  1.30873E-01
  2.41821E+00  6.54016E-01  1.13956E-01
  2.66739E+00  6.54636E-01  1.04180E-01
  2.91657E+00  6.61145E-01  9.31405E-02
  3.16576E+00  6.29207E-01  9.67401E-02
  3.41494E+00  7.80019E-01  1.06213E-01
  3.66412E+00  7.51453E-01  1.04264E-01
  3.91331E+00  6.04369E-01  9.44101E-02
  4.16249E+00  6.27803E-01  9.57892E-02
  4.41167E+00  5.86026E-01  9.26718E-02
  4.66086E+00  6.24351E-01  9.51216E-02
  4.91004E+00  5.83257E-01  9.20463E-02
  5.15922E+00  6.43565E-01  9.60124E-02
  5.40841E+00  5.79616E-01  9.14079E-02
  5.65759E+00  6.83662E-01  9.84323E-02
  5.90677E+00  7.21761E-01  1.00734E-01
