@page size 600,600
@view 0.12,0.1,0.97,0.93
@subtitle "PHOENIX module phox, 10/31/16 at 12:49:49 -07:00"
@xaxes scale Normal
@yaxes scale Normal
@xaxis label "energy (meV)"
@yaxis label "data without elastic peak"
@s0 errorbar size 0.0
@type xydy
 -6.76023E+01 -3.35142E+00  1.00000E+00
 -6.73531E+01 -3.35087E+00  1.00000E+00
 -6.71040E+01 -3.35031E+00  1.00000E+00
 -6.68548E+01 -3.34994E+00  1.00000E+00
 -6.66056E+01  3.96202E-01  1.89177E+00
 -6.63564E+01  1.05335E-01  1.81677E+00
 -6.61072E+01  3.49197E+00  2.55686E+00
 -6.58580E+01  1.88220E+00  2.23588E+00
 -6.56089E+01 -8.68222E-01  1.53950E+00
 -6.53597E+01  2.53693E+00  2.37191E+00
 -6.51105E+01  3.99535E-01  1.89254E+00
 -6.48613E+01 -2.39765E+00  1.00007E+00
 -6.46121E+01 -1.40668E-01  1.75083E+00
 -6.43629E+01 -1.77647E+00  1.22478E+00
 -6.41138E+01 -1.60200E+00  1.29111E+00
 -6.38646E+01  1.60047E+00  2.17527E+00
 -6.36154E+01 -1.78776E+00  1.21999E+00
 -6.33662E+01  8.56830E-02  1.81164E+00
 -6.31170E+01 -7.67283E-01  1.57009E+00
 -6.28678E+01  4.90411E-01  1.91567E+00
 -6.26187E+01  2.32507E+00  2.32966E+00
 -6.23695E+01  5.53879E-01  1.93148E+00
 -6.21203E+01  1.16028E-02  1.79195E+00
 -6.18711E+01 -2.25569E+00  1.01882E+00
 -6.16219E+01  1.00563E+00  2.04060E+00
 -6.13727E+01  1.92412E+00  2.24606E+00
 -6.11236E+01  1.10693E+00  2.06433E+00
 -6.08744E+01  5.97570E-02  1.80482E+00
 -6.06252E+01  1.64535E-01  1.83246E+00
 -6.03760E+01  4.85481E-01  1.91463E+00
 -6.01268E+01  5.56509E-01  1.93236E+00
 -5.98776E+01  1.41283E+00  2.13447E+00
 -5.96285E+01  3.44545E-01  1.87901E+00
 -5.93793E+01 -1.25749E+00  1.41163E+00
 -5.91301E+01 -1.79494E+00  1.21517E+00
 -5.88809E+01  4.62521E-01  1.90896E+00
 -5.86317E+01  4.49410E+00  2.74170E+00
 -5.83825E+01  2.09088E+00  2.28226E+00
 -5.81334E+01 -9.74203E-02  1.76254E+00
 -5.78842E+01  2.43183E+00  2.35312E+00
 -5.76350E+01  1.37511E+00  2.12648E+00
 -5.73858E+01  6.08363E+00  3.00809E+00
 -5.71366E+01  2.68454E+00  2.40443E+00
 -5.68874E+01  3.10155E+00  2.48652E+00
 -5.66383E+01 -3.28525E-01  1.69832E+00
 -5.63891E+01  8.89155E+00  3.42839E+00
 -5.61399E+01  4.24248E+00  2.69846E+00
 -5.58907E+01  6.99076E+00  3.15079E+00
 -5.56415E+01  8.35717E+00  3.35319E+00
 -5.53923E+01  5.71144E+00  2.94929E+00
 -5.51432E+01  1.06518E+01  3.66824E+00
 -5.48940E+01  9.33451E+00  3.49128E+00
 -5.46448E+01  1.29684E+01  3.96113E+00
 -5.43956E+01  1.14277E+01  3.76944E+00
 -5.41464E+01  1.13223E+01  3.75617E+00
 -5.38972E+01  1.77431E+01  4.50533E+00
 -5.36481E+01  1.75982E+01  4.49010E+00
 -5.33989E+01  1.52832E+01  4.23468E+00
 -5.31497E+01  1.53330E+01  4.24061E+00
 -5.29005E+01  8.49137E+00  3.37465E+00
 -5.26513E+01  1.12313E+01  3.74594E+00
 -5.24021E+01  1.13908E+01  3.76667E+00
 -5.21529E+01  1.28219E+01  3.94593E+00
 -5.19038E+01  1.39568E+01  4.08261E+00
 -5.16546E+01  1.98159E+01  4.72484E+00
 -5.14054E+01  1.63547E+01  4.35737E+00
 -5.11562E+01  1.65167E+01  4.37558E+00
 -5.09070E+01  1.34937E+01  4.02858E+00
 -5.06578E+01  1.59863E+01  4.31727E+00
 -5.04087E+01  9.96054E+00  3.58065E+00
 -5.01595E+01  1.14983E+01  3.78267E+00
 -4.99103E+01  1.06839E+01  3.67740E+00
 -4.96611E+01  1.27071E+01  3.93449E+00
 -4.94119E+01  1.11870E+01  3.74339E+00
 -4.91627E+01  1.34093E+01  4.02035E+00
 -4.89136E+01  1.37567E+01  4.06217E+00
 -4.86644E+01  1.38473E+01  4.07320E+00
 -4.84152E+01  1.12869E+01  3.75726E+00
 -4.81660E+01  8.56783E+00  3.38946E+00
 -4.79168E+01  9.27951E+00  3.48977E+00
 -4.76676E+01  1.27184E+01  3.93799E+00
 -4.74185E+01  1.39658E+01  4.08869E+00
 -4.71693E+01  2.11924E+01  4.86977E+00
 -4.69201E+01  1.71723E+01  4.45267E+00
 -4.66709E+01  1.79932E+01  4.54136E+00
 -4.64217E+01  1.38607E+01  4.07732E+00
 -4.61725E+01  1.46560E+01  4.17101E+00
 -4.59234E+01  1.49311E+01  4.20310E+00
 -4.56742E+01  1.53097E+01  4.24681E+00
 -4.54250E+01  1.56839E+01  4.28960E+00
 -4.51758E+01  1.27750E+01  3.94759E+00
 -4.49266E+01  1.89050E+01  4.63991E+00
 -4.46774E+01  2.30755E+01  5.05721E+00
 -4.44283E+01  1.68507E+01  4.42070E+00
 -4.41791E+01  2.22322E+01  4.97653E+00
 -4.39299E+01  2.47704E+01  5.21839E+00
 -4.36807E+01  1.41330E+01  4.11263E+00
 -4.34315E+01  2.33404E+01  5.08448E+00
 -4.31823E+01  1.94955E+01  4.70354E+00
 -4.29332E+01  1.98730E+01  4.74273E+00
 -4.26840E+01  2.27004E+01  5.02417E+00
 -4.24348E+01  3.05266E+01  5.73112E+00
 -4.21856E+01  2.36445E+01  5.11531E+00
 -4.19364E+01  1.88188E+01  4.63490E+00
 -4.16872E+01  2.19371E+01  4.95129E+00
 -4.14381E+01  2.05352E+01  4.81213E+00
 -4.11889E+01  2.67109E+01  5.40019E+00
 -4.09397E+01  2.06738E+01  4.82682E+00
 -4.06905E+01  1.87923E+01  4.63378E+00
 -4.04413E+01  2.80665E+01  5.52213E+00
 -4.01921E+01  2.68138E+01  5.41108E+00
 -3.99430E+01  2.44638E+01  5.19599E+00
 -3.96938E+01  2.08765E+01  4.84899E+00
 -3.94446E+01  2.66397E+01  5.39663E+00
 -3.91954E+01  3.86550E+01  6.38927E+00
 -3.89462E+01  2.70098E+01  5.43073E+00
 -3.86970E+01  2.02567E+01  4.78777E+00
 -3.84479E+01  1.40132E+01  4.10450E+00
 -3.81987E+01  2.83691E+01  5.55254E+00
 -3.79495E+01  2.83485E+01  5.55114E+00
 -3.77003E+01  2.71077E+01  5.44158E+00
 -3.74511E+01  3.20412E+01  5.86709E+00
 -3.72019E+01  3.09088E+01  5.77271E+00
 -3.69528E+01  3.19602E+01  5.86125E+00
 -3.67036E+01  3.00299E+01  5.69890E+00
 -3.64544E+01  2.75593E+01  5.48394E+00
 -3.62052E+01  2.81381E+01  5.53559E+00
 -3.59560E+01  2.86002E+01  5.57657E+00
 -3.57068E+01  3.51105E+01  6.12003E+00
 -3.54577E+01  4.65181E+01  6.97075E+00
 -3.52085E+01  5.02244E+01  7.22600E+00
 -3.49593E+01  3.92809E+01  6.44536E+00
 -3.47101E+01  5.17428E+01  7.32908E+00
 -3.44609E+01  4.15538E+01  6.61626E+00
 -3.42117E+01  4.23815E+01  6.67763E+00
 -3.39626E+01  4.84764E+01  7.10995E+00
 -3.37134E+01  6.32756E+01  8.06323E+00
 -3.34642E+01  4.91686E+01  7.15845E+00
 -3.32150E+01  5.84160E+01  7.76459E+00
 -3.29658E+01  5.10924E+01  7.28972E+00
 -3.27166E+01  5.79108E+01  7.73398E+00
 -3.24675E+01  5.75847E+01  7.71394E+00
 -3.22183E+01  5.73683E+01  7.70088E+00
 -3.19691E+01  6.40888E+01  8.11702E+00
 -3.17199E+01  6.39676E+01  8.11038E+00
 -3.14707E+01  6.73395E+01  8.31193E+00
 -3.12215E+01  7.25618E+01  8.61451E+00
 -3.09724E+01  7.00604E+01  8.47193E+00
 -3.07232E+01  7.25190E+01  8.61354E+00
 -3.04740E+01  8.15187E+01  9.11130E+00
 -3.02248E+01  9.06033E+01  9.58782E+00
 -2.99756E+01  7.86593E+01  8.95784E+00
 -2.97264E+01  8.66402E+01  9.38480E+00
 -2.94773E+01  8.28807E+01  9.18721E+00
 -2.92281E+01  8.29050E+01  9.18934E+00
 -2.89789E+01  9.42593E+01  9.77677E+00
 -2.87297E+01  7.85571E+01  8.95593E+00
 -2.84805E+01  8.08128E+01  9.07929E+00
 -2.82313E+01  7.91274E+01  8.98856E+00
 -2.79822E+01  8.69471E+01  9.40618E+00
 -2.77330E+01  6.97966E+01  8.46562E+00
 -2.74838E+01  6.52454E+01  8.19842E+00
 -2.72346E+01  6.14456E+01  7.96845E+00
 -2.69854E+01  6.18606E+01  7.99462E+00
 -2.67362E+01  6.72149E+01  8.31745E+00
 -2.64871E+01  5.93376E+01  7.83949E+00
 -2.62379E+01  6.55136E+01  8.21782E+00
 -2.59887E+01  6.22827E+01  8.02310E+00
 -2.57395E+01  4.63378E+01  6.97982E+00
 -2.54903E+01  5.05185E+01  7.26865E+00
 -2.52411E+01  5.81201E+01  7.76601E+00
 -2.49920E+01  5.25228E+01  7.40401E+00
 -2.47428E+01  4.93201E+01  7.18894E+00
 -2.44936E+01  5.05248E+01  7.27140E+00
 -2.42444E+01  4.77588E+01  7.08251E+00
 -2.39952E+01  5.21631E+01  7.38251E+00
 -2.37460E+01  5.25819E+01  7.41094E+00
 -2.34969E+01  5.10508E+01  7.30923E+00
 -2.32477E+01  5.01797E+01  7.25092E+00
 -2.29985E+01  4.31277E+01  6.75609E+00
 -2.27493E+01  3.93293E+01  6.47402E+00
 -2.25001E+01  4.61282E+01  6.97231E+00
 -2.22509E+01  5.06136E+01  7.28264E+00
 -2.20018E+01  3.93229E+01  6.47506E+00
 -2.17526E+01  4.01626E+01  6.53919E+00
 -2.15034E+01  4.08522E+01  6.59138E+00
 -2.12542E+01  4.13906E+01  6.63204E+00
 -2.10050E+01  3.16163E+01  5.86158E+00
 -2.07558E+01  2.84239E+01  5.58728E+00
 -2.05067E+01  4.68628E+01  7.02852E+00
 -2.02575E+01  5.01051E+01  7.25279E+00
 -2.00083E+01  4.13776E+01  6.63372E+00
 -1.97591E+01  4.04445E+01  6.56451E+00
 -1.95099E+01  3.69431E+01  6.29647E+00
 -1.92607E+01  4.39268E+01  6.82222E+00
 -1.90116E+01  4.40577E+01  6.83216E+00
 -1.87624E+01  3.67642E+01  6.28390E+00
 -1.85132E+01  3.16188E+01  5.86637E+00
 -1.82640E+01  4.44491E+01  6.86207E+00
 -1.80148E+01  3.99534E+01  6.53113E+00
 -1.77656E+01  3.12535E+01  5.83694E+00
 -1.75165E+01  3.27499E+01  5.96274E+00
 -1.72673E+01  4.55355E+01  6.94203E+00
 -1.70181E+01  4.68657E+01  7.03662E+00
 -1.67689E+01  3.78722E+01  6.37440E+00
 -1.65197E+01  3.82411E+01  6.40345E+00
 -1.62705E+01  4.58929E+01  6.96965E+00
 -1.60214E+01  4.05843E+01  6.58282E+00
 -1.57722E+01  3.13291E+01  5.84704E+00
 -1.55230E+01  3.92672E+01  6.48421E+00
 -1.52738E+01  4.27585E+01  6.74583E+00
 -1.50246E+01  4.17845E+01  6.67454E+00
 -1.47754E+01  3.56286E+01  6.20194E+00
 -1.45263E+01  3.85213E+01  6.42914E+00
 -1.42771E+01  3.92127E+01  6.48265E+00
 -1.40279E+01  4.08617E+01  6.60793E+00
 -1.37787E+01  3.29200E+01  5.98378E+00
 -1.35295E+01  4.64889E+01  7.01804E+00
 -1.32803E+01  3.99633E+01  6.54177E+00
 -1.30312E+01  3.69875E+01  6.31297E+00
 -1.27820E+01  3.99526E+01  6.54202E+00
 -1.25328E+01  3.27524E+01  5.97225E+00
 -1.22836E+01  3.66940E+01  6.29136E+00
 -1.20344E+01  3.66021E+01  6.28462E+00
 -1.17852E+01  4.09553E+01  6.61968E+00
 -1.15361E+01  3.53488E+01  6.18589E+00
 -1.12869E+01  2.94666E+01  5.69532E+00
 -1.10377E+01  4.03209E+01  6.57355E+00
 -1.07885E+01  4.91615E+01  7.21062E+00
 -1.05393E+01  4.62200E+01  7.00581E+00
 -1.02901E+01  4.05383E+01  6.59154E+00
 -1.00410E+01  3.72775E+01  6.34175E+00
 -9.79178E+00  3.98163E+01  6.53800E+00
 -9.54260E+00  4.64913E+01  7.08495E+00
 -9.29341E+00  4.00072E+01  6.62372E+00
 -9.04423E+00  3.92224E+01  6.57481E+00
 -8.79505E+00  4.74976E+01  7.17551E+00
 -8.54586E+00  3.76379E+01  6.45789E+00
 -8.29668E+00  3.76096E+01  6.45798E+00
 -8.04750E+00  4.44835E+01  6.97410E+00
 -7.79831E+00  3.48712E+01  6.26390E+00
 -7.54913E+00  4.01283E+01  6.68187E+00
 -7.29995E+00  4.59456E+01  7.11186E+00
 -7.05076E+00  3.97677E+01  6.67343E+00
 -6.80158E+00  3.38345E+01  6.23169E+00
 -6.55240E+00  4.44402E+01  7.04258E+00
 -6.30321E+00  3.95146E+01  6.70432E+00
 -6.05403E+00  3.83678E+01  6.63847E+00
 -5.80484E+00  3.35771E+01  6.28124E+00
 -5.55566E+00  3.67315E+01  6.53437E+00
 -5.30648E+00  4.78192E+01  7.34096E+00
 -5.05729E+00  5.12037E+01  7.58037E+00
 -4.80811E+00  2.89882E+01  5.95991E+00
 -4.55893E+00  4.28249E+01  7.03761E+00
 -4.30974E+00  5.04412E+01  7.57330E+00
 -4.06056E+00  5.22936E+01  7.70498E+00
 -3.81138E+00  5.66366E+01  8.02851E+00
 -3.56219E+00  4.34885E+01  7.62543E+00
 -3.31301E+00  4.79174E+01  8.27702E+00
 -3.06383E+00  4.98179E+01  8.17412E+00
 -2.81464E+00  5.15577E+01  8.46548E+00
 -2.56546E+00  5.34890E+01  9.32130E+00
 -2.31628E+00  5.47661E+01  1.02894E+01
 -2.06709E+00  5.44336E+01  1.19272E+01
 -1.81791E+00  5.19008E+01  1.39948E+01
 -1.56873E+00  4.75763E+01  1.69079E+01
 -1.31954E+00  4.28578E+01  2.32483E+01
 -1.07036E+00  4.07293E+01  3.35570E+01
 -8.21178E-01  4.40918E+01  4.83039E+01
 -5.71994E-01  5.20851E+01  6.56361E+01
 -3.22811E-01  5.91815E+01  8.03935E+01
 -7.36276E-02  5.94637E+01  8.86688E+01
  1.75556E-01  5.20981E+01  8.70841E+01
  4.24739E-01  4.29347E+01  7.59112E+01
  6.73922E-01  3.88467E+01  5.98617E+01
  9.23106E-01  4.15810E+01  4.44681E+01
  1.17229E+00  4.76866E+01  3.03043E+01
  1.42147E+00  5.24929E+01  2.16592E+01
  1.67066E+00  5.37728E+01  1.63484E+01
  1.91984E+00  5.25506E+01  1.23518E+01
  2.16902E+00  5.10191E+01  1.00679E+01
  2.41821E+00  5.03126E+01  8.76650E+00
  2.66739E+00  5.03603E+01  8.01441E+00
  2.91657E+00  5.08611E+01  7.16518E+00
  3.16576E+00  4.84041E+01  7.44209E+00
  3.41494E+00  6.00059E+01  8.17084E+00
  3.66412E+00  5.78083E+01  8.02092E+00
  3.91331E+00  4.64933E+01  7.26285E+00
  4.16249E+00  4.82961E+01  7.36894E+00
  4.41167E+00  4.50822E+01  7.12912E+00
  4.66086E+00  4.80305E+01  7.31758E+00
  4.91004E+00  4.48692E+01  7.08100E+00
  5.15922E+00  4.95086E+01  7.38611E+00
  5.40841E+00  4.45891E+01  7.03189E+00
  5.65759E+00  5.25932E+01  7.57227E+00
  5.90677E+00  5.55242E+01  7.74933E+00
