PHOENIX module padd; 10/31/16 at 13:23:38 -07:00
energy (meV),normalization function
-7.97300E+01, 8.43129E-01
-7.94800E+01, 8.43901E-01
-7.92300E+01, 8.45180E-01
-7.89800E+01, 8.47449E-01
-7.87200E+01, 8.49486E-01
-7.84700E+01, 8.49615E-01
-7.82200E+01, 8.51749E-01
-7.79700E+01, 8.51821E-01
-7.77200E+01, 8.53661E-01
-7.75000E+01, 8.54330E-01
-7.72500E+01, 8.55568E-01
-7.70000E+01, 8.56707E-01
-7.67500E+01, 8.56736E-01
-7.64900E+01, 8.58289E-01
-7.62400E+01, 8.59479E-01
-7.59900E+01, 8.61633E-01
-7.57400E+01, 8.62892E-01
-7.54900E+01, 8.63917E-01
-7.52400E+01, 8.66019E-01
-7.49800E+01, 8.67486E-01
-7.47300E+01, 8.67441E-01
-7.44800E+01, 8.66034E-01
-7.42300E+01, 8.66333E-01
-7.39800E+01, 8.69274E-01
-7.37200E+01, 8.70555E-01
-7.34700E+01, 8.72690E-01
-7.32200E+01, 8.72432E-01
-7.29700E+01, 8.73099E-01
-7.27200E+01, 8.73677E-01
-7.25000E+01, 8.74499E-01
-7.22500E+01, 8.70873E-01
-7.20000E+01, 8.63590E-01
-7.17500E+01, 8.57717E-01
-7.15000E+01, 8.56210E-01
-7.12400E+01, 8.58069E-01
-7.09900E+01, 8.58671E-01
-7.07400E+01, 8.58876E-01
-7.04900E+01, 8.58700E-01
-7.02400E+01, 8.59156E-01
-6.99800E+01, 8.59685E-01
-6.97300E+01, 8.61885E-01
-6.94800E+01, 8.62922E-01
-6.92300E+01, 8.65138E-01
-6.89800E+01, 8.63992E-01
-6.87300E+01, 8.65646E-01
-6.84700E+01, 8.65825E-01
-6.82200E+01, 8.67171E-01
-6.79700E+01, 8.68687E-01
-6.77200E+01, 8.71674E-01
-6.74700E+01, 8.73707E-01
-6.72500E+01, 8.74728E-01
-6.70000E+01, 8.72583E-01
-6.67500E+01, 8.69786E-01
-6.65000E+01, 8.64557E-01
-6.62400E+01, 8.62018E-01
-6.59900E+01, 8.60039E-01
-6.57400E+01, 8.63382E-01
-6.54900E+01, 8.65064E-01
-6.52400E+01, 8.67681E-01
-6.49900E+01, 8.68101E-01
-6.47300E+01, 8.68101E-01
-6.44800E+01, 8.66991E-01
-6.42300E+01, 8.66363E-01
-6.39800E+01, 8.67876E-01
-6.37300E+01, 8.72098E-01
-6.34800E+01, 8.73343E-01
-6.32200E+01, 8.75078E-01
-6.29700E+01, 8.74850E-01
-6.27200E+01, 8.77357E-01
-6.24700E+01, 8.80188E-01
-6.22200E+01, 8.81595E-01
-6.20000E+01, 8.81348E-01
-6.17500E+01, 8.82246E-01
-6.15000E+01, 8.79002E-01
-6.12500E+01, 8.76056E-01
-6.09900E+01, 8.71962E-01
-6.07400E+01, 8.70752E-01
-6.04900E+01, 8.71932E-01
-6.02400E+01, 8.70812E-01
-5.99900E+01, 8.74194E-01
-5.97400E+01, 8.72887E-01
-5.94800E+01, 8.74575E-01
-5.92300E+01, 8.74042E-01
-5.89800E+01, 8.75964E-01
-5.87300E+01, 8.77450E-01
-5.84800E+01, 8.78417E-01
-5.82200E+01, 8.78771E-01
-5.79700E+01, 8.79633E-01
-5.77200E+01, 8.80559E-01
-5.74700E+01, 8.82665E-01
-5.72200E+01, 8.82029E-01
-5.70000E+01, 8.84018E-01
-5.67500E+01, 8.84407E-01
-5.65000E+01, 8.85327E-01
-5.62500E+01, 8.83893E-01
-5.59900E+01, 8.82712E-01
