PHOENIX module padd; 10/31/16 at 13:23:38 -07:00
energy (meV),shifted spectra
-7.91618E+01, 8.90190E-01
-7.89118E+01, 4.68296E-02
-7.86618E+01, 4.64460E-02
-7.84118E+01, 4.57653E-02
-7.81618E+01, 2.85124E-02
-7.79118E+01, 1.69301E+00
-7.76618E+01, 1.20605E-01
-7.74118E+01, 8.45872E-01
-7.71618E+01, 9.15599E-01
-7.69118E+01, 1.91051E-01
-7.66618E+01, 1.64902E+00
-7.64118E+01, 1.15042E-02
-7.61618E+01, 2.67715E-02
-7.59118E+01, 8.52930E-02
-7.56618E+01, 8.75482E-01
-7.54118E+01, 2.49470E-02
-7.51618E+01, 8.39727E-02
-7.49118E+01, 8.78618E-01
-7.46618E+01, 3.17013E-02
-7.44118E+01, 3.97542E-02
-7.41618E+01, 3.97677E-02
-7.39118E+01, 9.06224E-01
-7.36618E+01, 4.01001E-02
-7.34118E+01, 3.92179E-02
-7.31618E+01, 8.84453E-01
-7.29118E+01, 6.40004E-02
-7.26618E+01, 1.71334E+00
-7.24118E+01, 9.62796E-01
-7.21618E+01, 9.13329E-01
-7.19118E+01, 2.36651E-03
-7.16618E+01, 1.08096E-01
-7.14118E+01, 9.35888E-01
-7.11618E+01, 8.32064E-01
-7.09118E+01, 1.07976E-02
-7.06618E+01, 8.53194E-02
-7.04118E+01, 8.74961E-01
-7.01618E+01, 3.40967E-02
-6.99118E+01, 3.46066E-02
-6.96618E+01, 6.68458E-02
-6.94118E+01, 9.01780E-01
-6.91618E+01, 1.76520E+00
-6.89118E+01, 4.11234E-02
-6.86618E+01, 4.04585E-02
-6.84118E+01, 1.76879E+00
-6.81618E+01, 4.03063E-02
-6.79118E+01, 2.33127E-02
-6.76618E+01, 3.98686E-02
-6.74118E+01, 3.94168E-02
-6.71618E+01, 2.17599E-02
-6.69118E+01, 1.73678E+00
-6.66618E+01, 3.76332E-02
-6.64118E+01, 3.82751E-02
-6.61618E+01, 3.91914E-02
-6.59118E+01, 2.45208E-02
-6.56618E+01, 8.42548E-02
-6.54118E+01, 8.67548E-01
-6.51618E+01, 7.56138E-02
-6.49118E+01, 8.79212E-01
-6.46618E+01, 3.13786E-02
-6.44118E+01, 3.95652E-02
-6.41618E+01, 3.95697E-02
-6.39118E+01, 3.99026E-02
-6.36618E+01, 4.00911E-02
-6.34118E+01, 9.07513E-01
-6.31618E+01, 9.10469E-01
-6.29118E+01, 3.79972E-02
-6.26618E+01, 8.78943E-01
-6.24118E+01, 8.03026E-02
-6.21618E+01, 2.84309E-02
-6.19118E+01, 1.90476E-02
-6.16618E+01, 1.72928E+00
-6.14118E+01, 1.65930E+00
-6.11618E+01, 3.54040E-02
-6.09118E+01, 1.21330E-01
-6.06618E+01, 8.46054E-01
-6.04118E+01, 7.38656E-02
-6.01618E+01, 8.74682E-01
-5.99118E+01, 7.32734E-02
-5.96618E+01, 8.74675E-01
-5.94118E+01, 7.20430E-02
-5.91618E+01, 8.85989E-01
-5.89118E+01, 3.76275E-02
-5.86618E+01, 3.77874E-02
-5.84118E+01, 3.72108E-02
-5.81618E+01, 9.14215E-01
-5.79118E+01, 3.64749E-02
-5.76618E+01, 2.77701E-02
-5.74118E+01, 3.61221E-02
-5.71618E+01, 3.58470E-02
-5.69118E+01, 3.52212E-02
-5.66618E+01, 2.51252E-02
-5.64118E+01, 8.68776E-01
-5.61618E+01, 2.11618E-03
-5.59118E+01, 1.20149E-01
-5.56618E+01, 8.67401E-01
-5.54118E+01, 2.71996E-02
-5.51618E+01, 3.55016E-02
-5.49118E+01, 3.57932E-02
-5.46618E+01, 2.71425E-02
-5.44118E+01, 7.89124E-02
-5.41618E+01, 8.84009E-01
-5.39118E+01, 3.54796E-02
-5.36618E+01, 9.17887E-01
-5.34118E+01, 3.51632E-02
-5.31618E+01, 3.38102E-02
-5.29118E+01, 9.23590E-01
-5.26618E+01, 3.22053E-02
-5.24118E+01, 2.40210E-02
-5.21618E+01, 3.30654E-02
-5.19118E+01, 3.24039E-02
-5.16618E+01, 3.17499E-02
-5.14118E+01, 3.09769E-02
-5.11618E+01, 1.17994E-01
-5.09118E+01, 8.58626E-01
-5.06618E+01, 1.00050E-01
-5.04118E+01, 8.60523E-01
-5.01618E+01, 6.75252E-02
-4.99118E+01, 8.96823E-01
-4.96618E+01, 2.51509E-02
-4.94118E+01, 3.42991E-02
-4.91618E+01, 2.68290E-02
-4.89118E+01, 7.73863E-02
-4.86618E+01, 9.18290E-01
-4.84118E+01, 3.48508E-02
-4.81618E+01, 9.18388E-01
-4.79118E+01, 9.19609E-01
-4.76618E+01, 9.20090E-01
-4.74118E+01, 6.75499E-02
-4.71618E+01, 1.67956E-02
-4.69118E+01, 8.70858E-01
-4.66618E+01, 2.65928E+00
-4.64118E+01, 9.80669E-01
-4.61618E+01, 3.43888E+00
-4.59118E+01, 9.66016E-01
-4.56618E+01, 1.75295E+00
-4.54118E+01, 1.01589E+00
-4.51618E+01, 1.70785E+00
-4.49118E+01, 4.15531E-03
-4.46618E+01, 5.67293E-02
-4.44118E+01, 9.97634E-01
-4.41618E+01, 1.77984E+00
-4.39118E+01, 2.70207E-02
-4.36618E+01, 2.72774E-02
-4.34118E+01, 2.75450E+00
-4.31618E+01, 9.37473E-01
-4.29118E+01, 2.64053E-02
-4.26618E+01, 2.76697E+00
-4.24118E+01, 2.76953E+00
-4.21618E+01, 1.03731E-01
-4.19118E+01, 2.67201E+00
-4.16618E+01, 1.51399E-01
-4.14118E+01, 8.91514E-01
-4.11618E+01, 5.66498E-02
-4.09118E+01, 1.05763E+00
-4.06618E+01, 1.81600E+00
-4.04118E+01, 9.29864E-01
-4.01618E+01, 8.98115E-01
-3.99118E+01, 1.09961E+00
-3.96618E+01, 3.60631E+00
-3.94118E+01, 1.63459E-02
-3.91618E+01, 9.99115E-01
-3.89118E+01, 1.76753E+00
-3.86618E+01, 2.79863E-02
-3.84118E+01, 9.32788E-01
-3.81618E+01, 2.74366E+00
-3.79118E+01, 9.34056E-01
-3.76618E+01, 9.36307E-01
-3.74118E+01, 2.73169E-02
-3.71618E+01, 2.64798E-02
-3.69118E+01, 8.37851E-03
-3.66618E+01, 1.75878E+00
-3.64118E+01, 4.54067E+00
-3.61618E+01, 2.90084E+00
-3.59118E+01, 1.01074E+00
-3.56618E+01, 4.17461E-01
-3.54118E+01, 4.48843E+00
-3.51618E+01, 1.94159E+00
-3.49118E+01, 2.53975E+00
-3.46618E+01, 1.54868E-01
-3.44118E+01, 3.74659E+00
-3.41618E+01, 2.83882E+00
-3.39118E+01, 3.71012E+00
-3.36618E+01, 2.67684E+00
-3.34118E+01, 1.01040E+00
-3.31618E+01, 2.76459E+00
-3.29118E+01, 9.40950E-01
-3.26618E+01, 9.42145E-01
-3.24118E+01, 2.78115E+00
-3.21618E+01, 9.43203E-01
-3.19118E+01, 1.80242E+00
-3.16618E+01, 2.77933E+00
-3.14118E+01, 1.02098E+00
-3.11618E+01, 1.81741E+00
-3.09118E+01, 1.86053E+00
-3.06618E+01, 3.60778E+00
-3.04118E+01, 1.92099E+00
-3.01618E+01, 2.86516E+00
-2.99118E+01, 2.63334E+00
-2.96618E+01, 1.04207E+00
-2.94118E+01, 2.85308E+00
-2.91618E+01, 3.85893E+00
-2.89118E+01, 5.56620E+00
-2.86618E+01, 3.72029E+00
-2.84118E+01, 3.79341E+00
-2.81618E+01, 4.65380E+00
-2.79118E+01, 1.87347E+00
-2.76618E+01, 9.47864E-01
-2.74118E+01, 1.87324E+00
-2.71618E+01, 5.57022E+00
-2.69118E+01, 1.87405E+00
-2.66618E+01, 3.61329E+00
-2.64118E+01, 4.64805E+00
-2.61618E+01, 4.68784E+00
-2.59118E+01, 3.79126E+00
-2.56618E+01, 2.83112E+00
-2.54118E+01, 3.86459E+00
-2.51618E+01, 4.64287E+00
-2.49118E+01, 3.80233E+00
-2.46618E+01, 3.43010E+00
-2.44118E+01, 1.23363E+00
-2.41618E+01, 7.47012E+00
-2.39118E+01, 3.79241E+00
-2.36618E+01, 3.68566E+00
-2.34118E+01, 9.18196E-01
-2.31618E+01, 1.00728E+00
-2.29118E+01, 2.86192E+00
-2.26618E+01, 5.71567E+00
-2.24118E+01, 2.87013E+00
-2.21618E+01, 9.67420E-01
-2.19118E+01, 1.91891E+00
-2.16618E+01, 4.78738E+00
-2.14118E+01, 2.96989E+00
-2.11618E+01, 3.78912E+00
-2.09118E+01, 2.91136E+00
-2.06618E+01, 4.67402E+00
-2.04118E+01, 7.29952E+00
-2.01618E+01, 1.81326E+00
-1.99118E+01, 2.03882E+00
-1.96618E+01, 2.77065E+00
-1.94118E+01, 2.39063E+00
-1.91618E+01, 6.64399E+00
-1.89118E+01, 1.85206E+00
-1.86618E+01, 9.99252E-01
-1.84118E+01, 1.99982E+00
-1.81618E+01, 2.93901E+00
-1.79118E+01, 2.90852E+00
-1.76618E+01, 1.93014E+00
-1.74118E+01, 3.82719E+00
-1.71618E+01, 3.83282E+00
-1.69118E+01, 1.92616E+00
-1.66618E+01, 1.23181E-02
-1.64118E+01, 2.76488E+00
-1.61618E+01, 1.99239E+00
-1.59118E+01, 1.94179E+00
-1.56618E+01, 6.94104E-02
-1.54118E+01, 1.83699E+00
-1.51618E+01, 3.11164E+00
-1.49118E+01, 4.82925E+00
-1.46618E+01, 3.90433E+00
-1.44118E+01, 3.80986E+00
-1.41618E+01, 2.98886E+00
-1.39118E+01, 3.81018E+00
-1.36618E+01, 8.98586E-01
-1.34118E+01, 6.56321E-02
-1.31618E+01, 2.03013E+00
-1.29118E+01, 3.02254E+00
-1.26618E+01, 3.92757E+00
-1.24118E+01, 2.92362E+00
-1.21618E+01, 1.94608E+00
-1.19118E+01, 2.91164E+00
-1.16618E+01, 9.77850E-01
-1.14118E+01, 1.94719E+00
-1.11618E+01, 9.79453E-01
-1.09118E+01, 5.66934E+00
-1.06618E+01, 1.21928E+00
-1.04118E+01, 9.24074E-01
-1.01618E+01, 2.15559E+00
-9.91180E+00, 3.84688E+00
-9.66180E+00, 3.05429E+00
-9.41180E+00, 5.17256E+00
-9.16180E+00, 6.74462E+00
-8.91180E+00, 3.88186E+00
-8.66180E+00, 2.98709E+00
-8.41180E+00, 2.84944E+00
-8.16180E+00, 3.92899E-03
-7.91180E+00, 1.01826E+00
-7.66180E+00, 2.13548E+00
-7.41180E+00, 4.97716E+00
-7.16180E+00, 2.98310E+00
-6.91180E+00, 3.95571E+00
-6.66180E+00, 2.96589E+00
-6.41180E+00, 2.95899E+00
-6.16180E+00, 2.95769E+00
-5.91180E+00, 4.86048E+00
-5.66180E+00, 3.99523E+00
-5.41180E+00, 3.95764E+00
-5.16180E+00, 2.02935E+00
-4.91180E+00, 3.92879E+00
-4.66180E+00, 2.99242E+00
-4.41180E+00, 2.82060E+00
-4.16180E+00, 9.07598E-01
-3.91180E+00, 1.18831E+00
-3.66180E+00, 4.03883E+00
-3.41180E+00, 6.25691E+00
-3.16180E+00, 1.07139E+01
-2.91180E+00, 3.95444E+00
-2.66180E+00, 5.05984E+00
-2.41180E+00, 6.03403E+00
-2.16180E+00, 5.04165E+00
-1.91180E+00, 1.00657E+01
-1.66180E+00, 1.00157E+01
-1.41180E+00, 1.90238E+01
-1.16180E+00, 2.50700E+01
-9.11800E-01, 6.73399E+01
-6.61800E-01, 1.86215E+02
-4.11800E-01, 3.73834E+02
-1.61800E-01, 5.09829E+02
 8.82003E-02, 4.87394E+02
 3.38200E-01, 3.57488E+02
 5.88200E-01, 2.00554E+02
