Date of conversion : 10/31/16,Time of conversion : 13:23:38 -07:00
Fit function for dominant peak is of exponential type,asymmetry factor :  0.90,shape coefficient :  1.60
,detailed imbalance,Chi^2,peak,FWHM,position,%background,input file
  ,ok,   1.46,5.44E+02,  0.96,  -0.568,   0.91,   data/3idb_0375.mda
  ,ok,   1.94,6.68E+02,  0.94,  -0.765,   0.52,   data/3idb_0376.mda
  ,ok,   1.42,6.04E+02,  0.97,  -2.188,   0.88,   data/3idb_0377.mda
  ,ok,   1.35,5.04E+02,  0.92,  -3.640,   0.74,   data/3idb_0378.mda

PHOENIX module padd; 10/31/16 at 13:23:38 -07:00
energy (meV),counts,error of counts
-7.61618E+01, 4.00463E-02, 0.00000E+00
-7.59118E+01, 5.89185E-01, 9.75037E-01
-7.56618E+01, 1.98263E+00, 1.31413E+00
-7.54118E+01, 7.37262E-01, 1.05898E+00
-7.51618E+01, 2.25974E+00, 1.68448E+00
-7.49118E+01, 3.18122E+00, 1.25798E+00
-7.46618E+01, 4.17100E-01, 2.14427E-01
-7.44118E+01, 3.46553E-01, 9.76025E-01
-7.41618E+01, 8.64221E-01, 0.00000E+00
-7.39118E+01, 9.49880E-01, 9.18138E-01
-7.36618E+01, 8.19813E-01, 9.71812E-01
-7.34118E+01, 1.18267E+00, 1.36727E+00
-7.31618E+01, 2.19304E+00, 9.05132E-01
-7.29118E+01, 6.13078E-01, 9.90866E-01
-7.26618E+01, 2.26876E+00, 1.24798E+00
-7.24118E+01, 3.17964E+00, 2.13404E+00
-7.21618E+01, 3.12844E+00, 1.31767E+00
-7.19118E+01, 8.07027E-01, 0.00000E+00
-7.16618E+01, 1.24099E-01, 2.44641E-01
-7.14118E+01, 1.39428E+00, 1.33238E+00
-7.11618E+01, 3.49014E+00, 2.11130E+00
-7.09118E+01, 2.70934E+00, 1.00552E+00
-7.06618E+01, 5.58286E-01, 2.55144E-01
-7.04118E+01, 9.19579E-01, 8.72857E-01
-7.01618E+01, 3.30875E-01, 9.53547E-01
-6.99118E+01, 1.52193E+00, 1.02863E+00
-6.96618E+01, 1.26614E+00, 1.37258E+00
-6.94118E+01, 2.20935E+00, 8.59685E-01
-6.91618E+01, 1.78676E+00, 1.21889E+00
-6.89118E+01, 7.68141E-01, 9.49823E-01
-6.86618E+01, 3.66996E-01, 0.00000E+00
-6.84118E+01, 1.88500E+00, 1.27819E+00
-6.81618E+01, 1.61582E+00, 1.66161E+00
-6.79118E+01, 1.61266E+00, 2.13715E-01
-6.76618E+01, 6.10465E-01, 9.75832E-01
-6.74118E+01, 1.03425E+00, 1.37631E+00
-6.71618E+01, 2.88889E+00, 1.40316E+00
-6.69118E+01, 2.59726E+00, 1.21832E+00
-6.66618E+01, 1.12710E-01, 3.72565E-01
-6.64118E+01, 1.12616E+00, 1.35399E+00
-6.61618E+01, 1.10279E+00, 2.41342E-01
-6.59118E+01, 2.75115E-01, 9.93332E-01
-6.56618E+01, 1.17630E+00, 9.68907E-01
-6.54118E+01, 1.58189E+00, 8.59552E-01
-6.51618E+01, 2.95681E-01, 9.98645E-01
-6.49118E+01, 2.62342E+00, 1.59567E+00
-6.46618E+01, 1.82659E+00, 1.00462E+00
-6.44118E+01, 6.09054E-01, 9.82215E-01
-6.41618E+01, 8.83706E-01, 2.17673E-01
-6.39118E+01, 6.41333E-01, 9.60588E-01
-6.36618E+01, 6.20900E-01, 4.30233E-01
-6.34118E+01, 2.39246E+00, 1.59366E+00
-6.31618E+01, 2.03557E+00, 1.63381E+00
-6.29118E+01, 1.64384E+00, 2.79774E-07
-6.26618E+01, 1.05335E+00, 1.28170E+00
-6.24118E+01, 8.83295E-01, 2.89745E-01
-6.21618E+01, 1.22228E-01, 2.17518E-01
-6.19118E+01, 9.65721E-01, 1.35346E+00
-6.16618E+01, 3.54263E+00, 1.85537E+00
-6.14118E+01, 4.45144E+00, 2.06381E+00
-6.11618E+01, 1.70929E+00, 9.84503E-01
-6.09118E+01, 2.17107E+00, 1.69710E+00
-6.06618E+01, 3.69743E+00, 1.62280E+00
-6.04118E+01, 1.17804E+00, 1.75512E-01
-6.01618E+01, 8.91020E-01, 8.53158E-01
-5.99118E+01, 8.95492E-02, 1.74165E-01
-5.96618E+01, 1.50630E+00, 1.31452E+00
-5.94118E+01, 2.47136E+00, 1.67758E+00
-5.91618E+01, 2.08188E+00, 9.33274E-01
-5.89118E+01, 3.70900E-01, 9.73322E-01
-5.86618E+01, 8.21949E-01, 1.62541E-07
-5.84118E+01, 2.57557E-01, 9.73590E-01
-5.81618E+01, 1.79804E+00, 9.54320E-01
-5.79118E+01, 1.35534E+00, 1.34132E+00
-5.76618E+01, 1.08691E+00, 9.85810E-01
-5.74118E+01, 1.49872E+00, 1.00388E+00
-5.71618E+01, 1.33499E+00, 1.35125E+00
-5.69118E+01, 1.06685E+00, 1.94906E-01
-5.66618E+01, 3.12626E-01, 9.80960E-01
-5.64118E+01, 3.53492E+00, 1.88485E+00
-5.61618E+01, 1.36169E+00, 3.45012E-01
-5.59118E+01, 1.20920E+00, 1.41868E+00
-5.56618E+01, 2.97933E+00, 1.87593E+00
-5.54118E+01, 3.74068E+00, 1.70845E+00
-5.51618E+01, 2.66474E+00, 1.39111E+00
-5.49118E+01, 5.82551E-01, 2.19228E-07
-5.46618E+01, 6.63434E-01, 9.72473E-01
-5.44118E+01, 6.96797E-01, 1.02700E+00
-5.41618E+01, 1.97565E+00, 1.28301E+00
-5.39118E+01, 1.41636E+00, 9.61346E-01
-5.36618E+01, 1.71082E+00, 1.65225E+00
-5.34118E+01, 1.85656E+00, 9.76390E-01
-5.31618E+01, 1.24373E+00, 1.40878E+00
-5.29118E+01, 3.48903E+00, 1.65472E+00
-5.26618E+01, 2.02407E+00, 1.34161E+00
-5.24118E+01, 1.03660E+00, 3.51157E-01
-5.21618E+01, 1.51945E+00, 1.36212E+00
-5.19118E+01, 9.26515E-01, 9.60747E-01
-5.16618E+01, 8.09642E-01, 1.95154E-01
-5.14118E+01, 2.68402E-01, 9.56952E-01
-5.11618E+01, 9.32724E-01, 6.46476E-01
-5.09118E+01, 4.79669E+00, 2.83607E+00
-5.06618E+01, 5.75345E+00, 1.48089E+00
-5.04118E+01, 2.97721E+00, 2.09700E+00
-5.01618E+01, 3.73798E+00, 1.40790E+00
-4.99118E+01, 2.77170E+00, 1.65697E+00
-4.96618E+01, 2.25259E+00, 1.68983E+00
-4.94118E+01, 2.36084E+00, 9.55425E-01
-4.91618E+01, 1.19866E+00, 9.99417E-01
-4.89118E+01, 9.48422E-01, 9.72863E-01
-4.86618E+01, 1.34973E+00, 9.25974E-01
-4.84118E+01, 1.12335E+00, 1.37784E+00
-4.81618E+01, 2.78380E+00, 1.64751E+00
-4.79118E+01, 2.68010E+00, 1.31913E+00
-4.76618E+01, 2.71691E+00, 2.15639E+00
-4.74118E+01, 4.19826E+00, 1.70087E+00
-4.71618E+01, 2.04681E+00, 9.92890E-01
-4.69118E+01, 1.98248E+00, 1.31957E+00
-4.66618E+01, 3.89645E+00, 2.05182E+00
-4.64118E+01, 4.19906E+00, 2.36361E+00
-4.61618E+01, 8.27585E+00, 2.63019E+00
-4.59118E+01, 5.67610E+00, 2.34493E+00
-4.56618E+01, 5.16860E+00, 1.90804E+00
-4.54118E+01, 3.33851E+00, 2.14676E+00
-4.51618E+01, 4.31953E+00, 1.61553E+00
-4.49118E+01, 2.86920E+00, 2.14047E+00
-4.46618E+01, 2.99159E+00, 3.36013E-01
-4.44118E+01, 1.82080E+00, 1.91915E+00
-4.41618E+01, 5.83078E+00, 2.11541E+00
-4.39118E+01, 2.33058E+00, 1.44925E+00
-4.36618E+01, 2.54689E+00, 1.93480E+00
-4.34118E+01, 6.49932E+00, 2.50962E+00
-4.31618E+01, 5.17554E+00, 1.89568E+00
-4.29118E+01, 1.56746E+00, 9.77957E-01
-4.26618E+01, 4.38499E+00, 2.41775E+00
-4.24118E+01, 1.01589E+01, 3.32152E+00
-4.21618E+01, 7.80137E+00, 2.75232E+00
-4.19118E+01, 9.16556E+00, 2.51361E+00
-4.16618E+01, 2.22796E+00, 1.40235E+00
-4.14118E+01, 4.76156E+00, 2.73773E+00
-4.11618E+01, 8.30266E+00, 2.77427E+00
